年度,学校コード,学部(研究科)番号,所在地,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,A大学院研究科,B大学学部,C短期大学本科,D専攻科,E別科,F自営業主等,G無期雇用労働者,H有期雇用労働者,I臨時労働者,臨床研修医(予定者を含む),専修学校・外国の学校等入学者,J(進学準備中),J(就職準備中),J(その他),不詳・死亡の者,7状況別計(a),左記A~Eのうち自営業者等無期(再掲),雇用契約期間1年以上フルタイム相当(再掲),左記Hのうち雇用契約期間が1年以上フルタイム勤務相当(再掲),8博士(再掲)満期退学,8博士(再掲)ポスドクH,8博士(再掲)ポスドクI,8博士(再掲)ポスドクJ,①年度入学,②年度入学,③年度入学,④年度入学,⑤年度入学,その他(編入),年度別計(a),入学年度①,入学年度②,入学年度③,入学年度④,入学年度⑤,進学者,就職者,臨床研修医,その他,合計（確認用）
2024,F102110100572,1A06,2,弘前大学,1,人文学部,,1,経済経営課程,D986,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,30,29,28,0,0,0,0,0
2024,F102110100572,1A19,2,弘前大学,1,人文社会科学部,,1,文化創生課程,B9L5,男,4,,,,,,33,1,,,,,4,3,,45,,,1,,,,,41,3,1,,,,45,2,1,30,29,28,4,34,0,7,45
2024,F102110100572,1A19,2,弘前大学,1,人文社会科学部,,1,文化創生課程,B9L5,女,2,,,,,,55,3,,,,,1,2,,63,,,3,,,,,58,4,1,,,,63,2,1,30,29,28,2,58,0,3,63
2024,F102110100572,1A19,2,弘前大学,1,人文社会科学部,,1,社会経営課程,B9L6,男,2,,,,,1,85,,,,1,,3,1,,93,,,,,,,,88,4,1,,,,93,2,1,30,29,28,3,86,0,4,93
2024,F102110100572,1A19,2,弘前大学,1,人文社会科学部,,1,社会経営課程,B9L6,女,,,,,,,65,3,,,,,2,,,70,,,2,,,,,64,5,1,,,,70,2,1,30,29,28,0,68,0,2,70
2024,F102110100572,1K15,2,弘前大学,2,農学生命科学研究科,1,1,農学生命科学,L9E1,男,3,,,,,,23,,,,,,,,,26,,,,,,,,26,,,,,,26,4,3,2,1,30,3,23,0,0,26
2024,F102110100572,1K15,2,弘前大学,2,農学生命科学研究科,1,1,農学生命科学,L9E1,女,1,,,,,,11,,,,,,1,,,13,,,,,,,,13,,,,,,13,4,3,2,1,30,1,11,0,1,13
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,生物,E401,男,15,,,,,,11,1,,,,,1,,,28,,,,,,,,28,,,,,,28,2,1,30,29,28,15,12,0,1,28
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,生物,E401,女,4,,,,,,8,1,,,,,,,,13,,,,,,,,11,,1,,,1,13,2,1,30,29,28,4,9,0,0,13
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,分子生命科,F931,男,10,,,,,,8,1,,,,,,1,,20,,,,,,,,18,1,1,,,,20,2,1,30,29,28,10,9,0,1,20
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,分子生命科,F931,女,9,,,,,,7,,,,,,1,1,,18,,,,,,,,16,,1,,,1,18,2,1,30,29,28,9,7,0,2,18
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,食料資源,L991,男,3,,,,,,14,,,,,,1,,,18,,,,,,,,18,,,,,,18,2,1,30,29,28,3,14,0,1,18
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,食料資源,L991,女,5,,,,,,27,,,,,,,,,32,,,,,,,,32,,,,,,32,2,1,30,29,28,5,27,0,0,32
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,国際園芸農,X9O8,男,3,,,,,3,21,2,,,,,1,1,,31,,,1,,,,,26,2,2,1,,,31,2,1,30,29,28,3,26,0,2,31
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,国際園芸農,X9O8,女,4,,,,,,21,,,,,,,1,,26,,,,,,,,23,1,1,,,1,26,2,1,30,29,28,4,21,0,1,26
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,地域環境工,L947,男,2,,,,,,20,,,,,,,,,22,,,,,,,,20,1,1,,,,22,2,1,30,29,28,2,20,0,0,22
2024,F102110100572,1K24,2,弘前大学,1,農学生命科学部,,1,地域環境工,L947,女,1,,,,,,7,1,,,,,,,,9,,,1,,,,,8,1,,,,,9,2,1,30,29,28,1,8,0,0,9
2024,F102110100572,1M04,2,弘前大学,1,医学部,,1,保健,O902,男,13,,,,,,41,4,,,,,4,,,62,,,4,,,,,60,2,,,,,62,2,1,30,29,28,13,45,0,4,62
2024,F102110100572,1M04,2,弘前大学,1,医学部,,1,保健,O902,女,9,2,,,,,117,3,,,2,,1,1,,135,1,,3,,,,,130,3,,,,2,135,2,1,30,29,28,13,120,0,2,135
2024,F102110100572,1M04,2,弘前大学,1,医学部,,1,心理支援科,O9B6,男,3,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,3,2,1,30,29,28,3,0,0,0,3
2024,F102110100572,1M04,2,弘前大学,1,医学部,,1,心理支援科,O9B6,女,5,,,,,,1,,,,,,,,,6,,,,,,,,6,,,,,,6,2,1,30,29,28,5,1,0,0,6
2024,F102110100572,1S01,2,弘前大学,1,教育学部（教員養成以外）,,1,生涯教育課程,U919,男,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,1,2,1,30,29,28,0,1,0,0,1
2024,F102110100572,1S01,2,弘前大学,1,教育学部（教員養成以外）,,1,生涯教育課程,U919,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,30,29,28,0,0,0,0,0
2024,F102110100572,1S01,2,弘前大学,2,教育学研究科,1,1,学校教育,S201,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,30,0,0,0,0,0
2024,F102110100572,1S01,2,弘前大学,2,教育学研究科,1,1,学校教育,S201,女,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,4,3,2,1,30,0,0,0,1,1
2024,F102110100572,1S02,2,弘前大学,1,教育学部（教員養成）,,1,学校教育教員養成課程,U942,男,6,,,,,,41,15,,,,,1,1,,64,,,11,,,,,61,3,,,,,64,2,1,30,29,28,6,56,0,2,64
2024,F102110100572,1S02,2,弘前大学,1,教育学部（教員養成）,,1,学校教育教員養成課程,U942,女,3,,,,,,64,9,,,,,4,,,80,,,6,,,,,74,3,2,,1,,80,2,1,30,29,28,3,73,0,4,80
2024,F102110100572,1S02,2,弘前大学,1,教育学部（教員養成）,,1,養護教諭養成課程,U907,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,30,29,28,0,0,0,0,0
2024,F102110100572,1S02,2,弘前大学,1,教育学部（教員養成）,,1,養護教諭養成課程,U907,女,,,,,,,14,7,,,,,1,1,,23,,,5,,,,,21,2,,,,,23,2,1,30,29,28,0,21,0,2,23
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,数物科,F925,男,26,,,,,,32,2,,,,,7,2,,69,,,1,,,,,68,,,,,1,69,2,1,30,29,28,26,34,0,9,69
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,数物科,F925,女,,,,,,,5,1,,,,,1,,,7,,,,,,,,7,,,,,,7,2,1,30,29,28,0,6,0,1,7
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,物質創成化,F974,男,16,,,,,,21,1,,,,,,1,,39,,,,,,,,34,4,,1,,,39,2,1,30,29,28,16,22,0,1,39
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,物質創成化,F974,女,7,,,,,,4,,,,,,,,,11,,,,,,,,10,1,,,,,11,2,1,30,29,28,7,4,0,0,11
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,地球環境防災,F992,男,22,,,,,1,31,,,,,1,1,2,,58,,,,,,,,48,7,1,,,2,58,2,1,30,29,28,22,32,0,4,58
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,地球環境防災,F992,女,5,,,,,,9,,,,,,,,,14,,,,,,,,12,1,,,,1,14,2,1,30,29,28,5,9,0,0,14
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,電子情報工,G2E9,男,24,,,,,,28,1,,,,,3,,,56,,,1,,,,,51,1,1,,,3,56,2,1,30,29,28,24,29,0,3,56
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,電子情報工,G2E9,女,,,,,,,1,,,,,,,1,,2,,,,,,,,1,,1,,,,2,2,1,30,29,28,0,1,0,1,2
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,機械科,G131,男,43,,,,,,21,,,,,,1,,,65,,,,,,,,61,,,1,,3,65,2,1,30,29,28,43,21,0,1,65
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,機械科,G131,女,1,,,,,,6,,,,,,,,,7,,,,,,,,7,,,,,,7,2,1,30,29,28,1,6,0,0,7
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,自然エネルギー,X9O9,男,13,,,,,,14,,,,,,,,,27,,,,,,,,25,,,,,2,27,2,1,30,29,28,13,14,0,0,27
2024,F102110100572,1X07,2,弘前大学,1,理工学部,,1,自然エネルギー,X9O9,女,1,,,,,,2,1,,,,,,1,,5,,,1,,,,,5,,,,,,5,2,1,30,29,28,1,3,0,1,5
2024,F102110100572,1X25,2,弘前大学,2,人文社会科学研究科,1,1,人文社会科学,X387,男,,,,,,,7,1,,,,,,,,8,,,1,,,,,6,2,,,,,8,4,3,2,1,30,0,8,0,0,8
2024,F102110100572,1X25,2,弘前大学,2,人文社会科学研究科,1,1,人文社会科学,X387,女,2,,,,,,5,,,,,,,4,,11,,,,,,,,7,3,1,,,,11,4,3,2,1,30,2,5,0,4,11
2024,F102110100572,1Z68,2,弘前大学,2,地域共創科学研究科,1,1,地域リノベーション,X9L3,男,1,,,,,,7,,,,,,,1,,9,,,,,,,,9,,,,,,9,4,3,2,1,30,1,7,0,1,9
2024,F102110100572,1Z68,2,弘前大学,2,地域共創科学研究科,1,1,地域リノベーション,X9L3,女,,,,,,,7,,,,,,,1,,8,,,,,,,,7,,1,,,,8,4,3,2,1,30,0,7,0,1,8
2024,F102110100572,1Z68,2,弘前大学,2,地域共創科学研究科,1,1,産業創成科学,X9L4,男,1,,,,,,6,1,,,,,,,,8,,,1,,,,,7,1,,,,,8,4,3,2,1,30,1,7,0,0,8
2024,F102110100572,1Z68,2,弘前大学,2,地域共創科学研究科,1,1,産業創成科学,X9L4,女,1,,,,,,5,,,,,,1,,,7,,,,,,,,5,2,,,,,7,4,3,2,1,30,1,5,0,1,7
2024,F102110100572,2G31,2,弘前大学,2,理工学研究科,2,1,理工学,J931,男,4,,,,,1,95,1,,,,,2,,,103,,,1,,,,,102,1,,,,,103,4,3,2,1,30,4,97,0,2,103
2024,F102110100572,2G31,2,弘前大学,2,理工学研究科,2,1,理工学,J931,女,,,,,,,13,,,,,,,,,13,,,,,,,,11,2,,,,,13,4,3,2,1,30,0,13,0,0,13
2024,F102110100572,2M11,2,弘前大学,2,保健学研究科,2,1,保健学,O901,男,7,1,,,,,12,,,,,,,,,20,7,,,,,,,18,1,1,,,,20,4,3,2,1,30,8,12,0,0,20
2024,F102110100572,2M11,2,弘前大学,2,保健学研究科,2,1,保健学,O901,女,1,,,,,,12,,,,,,,,,13,,,,,,,,10,1,2,,,,13,4,3,2,1,30,1,12,0,0,13
2024,F102110100572,4G31,2,弘前大学,2,理工学研究科,3,1,機能創成科学,F995,男,,,,,,,1,,,,,,,1,,2,,,,,,,1,1,,1,,,,2,3,2,1,30,29,0,1,0,1,2
2024,F102110100572,4G31,2,弘前大学,2,理工学研究科,3,1,機能創成科学,F995,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,30,29,0,0,0,0,0
2024,F102110100572,4G31,2,弘前大学,2,理工学研究科,3,1,安全システム工学,J9W3,男,,,,,,1,5,,,,,,,2,,8,,,,,,,2,3,4,,,,1,8,3,2,1,30,29,0,6,0,2,8
2024,F102110100572,4G31,2,弘前大学,2,理工学研究科,3,1,安全システム工学,J9W3,女,,,,,,,1,,,,,,,1,,2,,,,,,,1,,2,,,,,2,3,2,1,30,29,0,1,0,1,2
2024,F102110100572,4M02,2,弘前大学,1,医学部（修業年限６年）,,1,医,M201,男,,,,,,,,,,68,,,6,1,,75,,,,,,,,50,6,3,2,1,13,75,30,29,28,27,26,0,0,68,7,75
2024,F102110100572,4M02,2,弘前大学,1,医学部（修業年限６年）,,1,医,M201,女,,,,,,,,,,67,,,5,,,72,,,,,,,,51,11,,,,10,72,30,29,28,27,26,0,0,67,5,72
2024,F102110100572,4M11,2,弘前大学,2,保健学研究科,3,1,保健学,O901,男,,,,,,,8,,,,,,,1,,9,,,,,,,,6,1,,1,1,,9,3,2,1,30,29,0,8,0,1,9
2024,F102110100572,4M11,2,弘前大学,2,保健学研究科,3,1,保健学,O901,女,,,,,,,4,,,,,,,,,4,,,,,,,,,,1,1,1,1,4,3,2,1,30,29,0,4,0,0,4
2024,F102110100572,4X60,2,弘前大学,2,地域社会研究科,3,1,地域社会,C325,男,,,,,,,1,,,,,,,2,,3,,,,,,,,2,,1,,,,3,3,2,1,30,29,0,1,0,2,3
2024,F102110100572,4X60,2,弘前大学,2,地域社会研究科,3,1,地域社会,C325,女,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,2,,2,3,2,1,30,29,0,2,0,0,2
2024,F102110100572,6M01,2,弘前大学,2,医学研究科,4,1,医科学,M137,男,,,,,,,30,,,,,,,,,30,,,,,,,,14,5,3,1,4,3,30,2,1,30,29,28,0,30,0,0,30
2024,F102110100572,6M01,2,弘前大学,2,医学研究科,4,1,医科学,M137,女,,,,,,,11,,,,,,,,,11,,,,,,,,4,1,2,1,1,2,11,2,1,30,29,28,0,11,0,0,11
2024,F102110100572,GS01,2,弘前大学,2,教育学研究科（専門職学位）,5,1,教職実践,S250,男,,,,,,,9,1,,,,,,,,10,,,1,,,,,10,,,,,,10,4,3,2,1,30,0,10,0,0,10
2024,F102110100572,GS01,2,弘前大学,2,教育学研究科（専門職学位）,5,1,教職実践,S250,女,,,,,,,8,,,,,,,,,8,,,,,,,,8,,,,,,8,4,3,2,1,30,0,8,0,0,8
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,経済,C203,男,,,,,,,84,1,1,,,,1,2,,89,0,0,1,,,,,86,1,1,1,,,89,2,1,30,29,28,0,86,0,3,89
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,経済,C203,女,,,,,,,38,,,,,,1,1,,40,0,0,0,,,,,40,,,,,,40,2,1,30,29,28,0,38,0,2,40
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,経営,C205,男,1,,,,,2,63,1,2,,,,,2,,71,0,0,1,,,,,69,1,,1,,,71,2,1,30,29,28,1,68,0,2,71
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,経営,C205,女,,,,,,,62,1,1,,,,,1,,65,0,0,1,,,,,65,,,,,,65,2,1,30,29,28,0,64,0,1,65
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,地域みらい,C2E8,男,,,,,,,9,,,,,,,,,9,0,0,0,,,,,9,,,,,,9,2,1,30,29,28,0,9,0,0,9
2024,F102210100589,1C38,2,青森公立大学,1,経営経済学部,,1,地域みらい,C2E8,女,,,,,,,30,,,,1,,,,,31,0,0,0,,,,,31,,,,,,31,2,1,30,29,28,1,30,0,0,31
2024,F102210100589,2C61,2,青森公立大学,2,経営経済学研究科,2,1,経営経済学研究科,C270,男,1,,,,,,4,,,,,,,,,5,1,,,,,,,3,,1,,1,,5,4,3,2,1,30,1,4,0,0,5
2024,F102210100589,2C61,2,青森公立大学,2,経営経済学研究科,2,1,経営経済学研究科,C270,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,30,0,0,0,0,0
2024,F102210100589,4C61,2,青森公立大学,2,経営経済学研究科,3,1,経営経済学研究科,C270,男,,,,,,,,1,,,,,,1,,2,,,1,,,,,,,2,,,,2,3,2,1,30,29,0,1,0,1,2
2024,F102210100589,4C61,2,青森公立大学,2,経営経済学研究科,3,1,経営経済学研究科,C270,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,30,29,0,0,0,0,0
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,看護学（類）,M601,男,,,,,,,3,,,,,,,,,3,,,,,,,,3,,,,,,3,2,1,30,29,28,0,3,0,0,3
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,看護学（類）,M601,女,2,,,2,2,,90,,,,2,,,2,,100,,1,,,,,,99,1,,,,,100,2,1,30,29,28,8,90,0,2,100
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,理学療法学,O921,男,4,,,,,,17,,,,,,,1,,22,,4,,,,,,19,2,1,,,,22,2,1,30,29,28,4,17,0,1,22
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,理学療法学,O921,女,1,,,,,,13,,,,,,,,,14,,1,,,,,,14,,,,,,14,2,1,30,29,28,1,13,0,0,14
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,社会福祉学,C304,男,,,,,,,12,,,,,,,1,,13,,,,,,,,13,,,,,,13,2,1,30,29,28,0,12,0,1,13
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,社会福祉学,C304,女,,,,,,,35,1,,,,,,,,36,,,1,,,,,36,,,,,,36,2,1,30,29,28,0,36,0,0,36
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,栄養学,O901,男,,,,,,,3,,,,,,,,,3,,,,,,,,3,,,,,,3,2,1,30,29,28,0,3,0,0,3
2024,F102210100598,1M29,2,青森県立保健大学,1,健康科学部,,1,栄養学,O901,女,,,,,,,25,2,,,,,,1,,28,,,2,,,,,28,,,,,,28,2,1,30,29,28,0,27,0,1,28
2024,F102210100598,2X44,2,青森県立保健大学,2,健康科学研究科,2,1,健康科学,X208,男,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,4,3,2,1,30,0,1,0,0,1
2024,F102210100598,2X44,2,青森県立保健大学,2,健康科学研究科,2,1,健康科学,X208,女,1,,,,,,8,,,,,,1,,,10,,1,,,,,,8,2,,,,,10,4,3,2,1,30,1,8,0,1,10
2024,F102210100598,4X44,2,青森県立保健大学,2,健康科学研究科,3,1,健康科学,X208,男,,,,,,,3,,,,,,,,,3,,,,,,,,2,,1,,,,3,3,2,1,30,29,0,3,0,0,3
2024,F102210100598,4X44,2,青森県立保健大学,2,健康科学研究科,3,1,健康科学,X208,女,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,1,,,2,3,2,1,30,29,0,2,0,0,2
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,植物生命科学,K232,男,6,,,,,,13,1,,,,,,1,,21,,,1,,,,,19,1,1,,,,21,2,1,30,29,28,6,14,0,1,21
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,植物生命科学,K232,女,3,,,,,,7,,,,,,1,1,,12,,,,,,,,11,,,,,1,12,2,1,30,29,28,3,7,0,2,12
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,森林科学,K503,男,5,,,,,,9,,,,,,,,,14,,,,,,,,13,,1,,,,14,2,1,30,29,28,5,9,0,0,14
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,森林科学,K503,女,4,,,,,,10,,,,1,,,,,15,,,,,,,,15,,,,,,15,2,1,30,29,28,5,10,0,0,15
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,応用生物化学,L971,男,15,,,,,,1,,,,,,1,2,,19,,,,,,,,17,,2,,,,19,2,1,30,29,28,15,1,0,3,19
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,応用生物化学,L971,女,11,,,,,,13,,,,,,,1,,25,,,,,,,,23,1,,,1,,25,2,1,30,29,28,11,13,0,1,25
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,食料生産環境学,L992,男,5,,,,,,25,,,,,,2,1,,33,,,,,,,,31,2,,,,,33,2,1,30,29,28,5,25,0,3,33
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,食料生産環境学,L992,女,4,,,,,,20,1,,,,,,1,,26,,,1,,,,,25,,,,,1,26,2,1,30,29,28,4,21,0,1,26
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,動物科学,L993,男,4,,,,,,5,,,,,,,,,9,,,,,,,,9,,,,,,9,2,1,30,29,28,4,5,0,0,9
2024,F103110100731,1K01,3,岩手大学,1,農学部,,1,動物科学,L993,女,9,,,,,,11,1,,,,,1,,,22,,,,,,,,20,1,1,,,,22,2,1,30,29,28,9,12,0,1,22
2024,F103110100731,1S02,3,岩手大学,1,教育学部（教員養成）,,1,学校教育教員養成課程,U942,男,2,1,,,,,51,15,,,,,,1,,70,,,7,,,,,70,,,,,,70,2,1,30,29,28,3,66,0,1,70
2024,F103110100731,1S02,3,岩手大学,1,教育学部（教員養成）,,1,学校教育教員養成課程,U942,女,4,,,,,1,73,7,1,,,,1,1,,88,,,3,,,,,85,2,,1,,,88,2,1,30,29,28,4,82,0,2,88
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,化学・生命理工学,X9P1,男,32,,,,,,18,2,1,,1,,,5,,59,,,1,,,,,53,5,1,,,,59,2,1,30,29,28,33,21,0,5,59
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,化学・生命理工学,X9P1,女,18,,,,,,9,,,,,,1,,,28,,,,,,,,25,1,1,,,1,28,2,1,30,29,28,18,9,0,1,28
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,物理・材料理工学,X9P2,男,43,,,,,,21,1,,,,,2,1,,68,,,1,,,,,59,5,1,1,1,1,68,2,1,30,29,28,43,22,0,3,68
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,物理・材料理工学,X9P2,女,6,,,,,,4,,,,,,,,,10,,,,,,,,9,,,,1,,10,2,1,30,29,28,6,4,0,0,10
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,システム創生工学,X9P3,男,131,,,,,,92,3,1,,,2,1,3,,233,,,3,,,,,208,18,1,1,,5,233,2,1,30,29,28,131,96,0,6,233
2024,F103110100731,1X07,3,岩手大学,1,理工学部,,1,システム創生工学,X9P3,女,15,,,,,,22,,,,,,1,,,38,,,,,,,,34,1,3,,,,38,2,1,30,29,28,15,22,0,1,38
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,総合文化学,B9D5,男,1,,,,,,2,,,,,,,,,3,,,,,,,,2,1,,,,,3,4,3,2,1,30,1,2,0,0,3
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,総合文化学,B9D5,女,,,,,,,,2,1,,,,,,,3,,,1,,,,,2,1,,,,,3,4,3,2,1,30,0,3,0,0,3
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,地域創生,D9D2,男,2,,,,,,43,,,,,,,,,45,,,,,,,,43,2,,,,,45,4,3,2,1,30,2,43,0,0,45
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,地域創生,D9D2,女,,,,,,,17,1,,,,1,1,,,20,,,1,,,,,19,1,,,,,20,4,3,2,1,30,0,18,0,2,20
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,理工学,J931,男,3,,,,,,137,2,,,,,1,4,,147,,,2,,,,,143,4,,,,,147,4,3,2,1,30,3,139,0,5,147
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,理工学,J931,女,3,,,,,,28,1,,,,,1,6,,39,,,1,,,,,35,4,,,,,39,4,3,2,1,30,3,29,0,7,39
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,農学,K101,男,3,,,,,1,22,,,,,,,1,,27,,,,,,,,26,1,,,,,27,4,3,2,1,30,3,23,0,1,27
2024,F103110100731,1X09,3,岩手大学,2,総合科学研究科,1,1,農学,K101,女,2,,,,,,12,1,1,,,,1,,,17,,,,,,,,16,1,,,,,17,4,3,2,1,30,2,14,0,1,17
2024,F103110100731,1X38,3,岩手大学,1,人文社会科学部,,1,人間文化課程,X609,男,7,,,,,,26,2,1,,,1,1,3,,41,,,1,,,,,33,4,,2,2,,41,2,1,30,29,28,7,29,0,5,41
2024,F103110100731,1X38,3,岩手大学,1,人文社会科学部,,1,人間文化課程,X609,女,11,,,,,1,80,,1,,4,1,8,5,,111,,,,,,,,88,10,1,,2,10,111,2,1,30,29,28,15,82,0,14,111
2024,F103110100731,1X38,3,岩手大学,1,人文社会科学部,,1,地域政策課程,X639,男,1,,,,,,33,1,1,,,,3,3,,42,,,1,,,,,39,1,,,1,1,42,2,1,30,29,28,1,35,0,6,42
2024,F103110100731,1X38,3,岩手大学,1,人文社会科学部,,1,地域政策課程,X639,女,,,,,,,35,1,,,,,1,1,,38,,,1,,,,,32,2,,,,4,38,2,1,30,29,28,0,36,0,2,38
2024,F103110100731,4K10,3,岩手大学,1,農学部（修業年限６年）,,1,共同獣医学,K722,男,2,,,,,,11,,,,,,,,,13,,,,,,,,12,1,,,,,13,30,29,28,27,26,2,11,0,0,13
2024,F103110100731,4K10,3,岩手大学,1,農学部（修業年限６年）,,1,共同獣医学,K722,女,1,,,,,,12,,,,,,2,,,15,,,,,,,,14,,1,,,,15,30,29,28,27,26,1,12,0,2,15
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,生物資源科学,L911,男,,,,,,,3,2,,,,,,,,5,,,,,1,,,2,3,,,,,5,3,2,1,30,29,0,5,0,0,5
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,生物資源科学,L911,女,,,,,,,1,1,,,,,,1,,3,,,,,1,,,1,1,,,1,,3,3,2,1,30,29,0,2,0,1,3
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,生物生産科学,L916,男,,,,,,,1,1,,,,,,,,2,,,,,,,,2,,,,,,2,3,2,1,30,29,0,2,0,0,2
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,生物生産科学,L916,女,,,,,,,2,2,,,,,,,,4,,,,,2,,,2,1,1,,,,4,3,2,1,30,29,0,4,0,0,4
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,地域環境創生学,L9E8,男,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,3,2,1,30,29,1,0,0,0,1
2024,F103110100731,4K11,3,岩手大学,2,連合農学研究科,3,1,地域環境創生学,L9E8,女,,,,,,,3,1,,,,,,,,4,,,,,1,,,2,1,,1,,,4,3,2,1,30,29,0,4,0,0,4
2024,F103110100731,4X02,3,岩手大学,2,理工学研究科,3,1,自然・応用科学,X9J9,男,,,,,,,1,1,,,,,,1,,3,,,1,,,,,3,,,,,,3,3,2,1,30,29,0,2,0,1,3
2024,F103110100731,4X02,3,岩手大学,2,理工学研究科,3,1,自然・応用科学,X9J9,女,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1,3,2,1,30,29,0,0,0,1,1
2024,F103110100731,4X02,3,岩手大学,2,理工学研究科,3,1,システム創成工学,J9BJ,男,,,,,,,1,2,,,,,,,,3,,,1,,1,,,,2,,,,1,3,3,2,1,30,29,0,3,0,0,3
2024,F103110100731,4X02,3,岩手大学,2,理工学研究科,3,1,システム創成工学,J9BJ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,30,29,0,0,0,0,0
2024,F103110100731,4X02,3,岩手大学,2,理工学研究科,3,1,デザイン・メディア工学,J9DG,男,,,,,,,,1,,,,,1,,,2,,,1,,,,,1,,1,,,,2,3,2,1,30,29,0,1,0,1,2
