年度,学校コード,学部(研究科)番号,所在地,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,A大学院研究科,B大学学部,C短期大学本科,D専攻科,E別科,F自営業主等,G無期雇用労働者,H有期雇用労働者,I臨時労働者,臨床研修医(予定者を含む),専修学校・外国の学校等入学者,J(進学準備中),J(就職準備中),J(その他),不詳・死亡の者,7状況別計(a),左記A~Eのうち自営業者等無期(再掲),雇用契約期間1年以上フルタイム相当(再掲),左記Hのうち雇用契約期間が1年以上フルタイム勤務相当(再掲),8博士(再掲)満期退学,8博士(再掲)ポスドクH,8博士(再掲)ポスドクI,8博士(再掲)ポスドクJ,①年度入学,②年度入学,③年度入学,④年度入学,⑤年度入学,その他(編入),年度別計(a),入学年度①,入学年度②,入学年度③,入学年度④,入学年度⑤,進学者,就職者,臨床研修医,その他,合計（確認用）
2024,F101110100010,1G01,1,北海道大学,1,工学部,,1,応用理工系学科,G519,女,19,,,,,,2,,,,,,,,,21,,,,,,,,17,1,,,,3,21,2,1,30,29,28,19,2,0,0,21
2024,F101110100010,1G01,1,北海道大学,1,工学部,,1,環境社会工学科,J9K6,男,117,,,,,,31,,,,1,1,2,2,,154,,,,,,,,138,9,2,,1,4,154,2,1,30,29,28,118,31,0,5,154
2024,F101110100010,1G01,1,北海道大学,1,工学部,,1,環境社会工学科,J9K6,女,33,,,,,,8,,,,,,1,2,,44,,,,,,,,35,4,2,,,3,44,2,1,30,29,28,33,8,0,3,44
2024,F101110100010,1G60,1,北海道大学,2,工学院,1,1,共同資源工学,J9GA,男,2,,,,,,10,,,,,,,,,12,,,,,,,,11,1,,,,,12,4,3,2,1,30,2,10,0,0,12
2024,F101110100010,1G60,1,北海道大学,2,工学院,1,1,共同資源工学,J9GA,女,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,2,4,3,2,1,30,0,2,0,0,2
2024,F101110100010,1G78,1,北海道大学,2,情報科学院,1,1,情報科学,E103,男,31,1,,,,,140,1,,,,1,,,,174,0,0,1,,,,,166,6,1,1,,,174,4,3,2,1,30,32,141,0,1,174
2024,F101110100010,1G78,1,北海道大学,2,情報科学院,1,1,情報科学,E103,女,5,0,,,,,10,0,,,,0,,,,15,0,0,0,,,,,13,1,1,0,,,15,4,3,2,1,30,5,10,0,0,15
2024,F101110100010,1K01,1,北海道大学,1,農学部,,1,生物資源科,K218,男,22,,,,,,3,,,,,,1,,,26,,,,,,,,24,1,1,,,,26,2,1,30,29,28,22,3,0,1,26
2024,F101110100010,1K01,1,北海道大学,1,農学部,,1,生物資源科,K218,女,4,,,,,,1,,,,,,2,1,,8,,,,,,,,7,,1,,,,8,2,1,30,29,28,4,1,0,3,8
2024,F101110100010,1K01,1,北海道大学,1,農学部,,1,生物機能化,K222,男,21,,,,,,,,,,1,1,,,,23,,,,,,,,22,,1,,,,23,2,1,30,29,28,22,0,0,1,23
2024,F101110100010,1K01,1,北海道大学,1,農学部,,1,生物機能化,K222,女,10,,,,,,2,,,,,,,,,12,,,,,,,,12,,,,,,12,2,1,30,29,28,10,2,0,0,12
