年度,学校コード,学部(研究科)番号,所在地,連番,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,b-1研究者,b-2農林水産技術者,b-3製造技術者（開発）機械,b-3製造技術者（開発）電気,b-3製造技術者（開発）科学,b-3製造技術者（開発）その他,b-4製造技術者（開発を除く）機械,b-4製造技術者（開発を除く）電気,b-4製造技術者（開発を除く）科学,b-4製造技術者（開発を除く）その他,b-5建築・土木・測量技術者,b-6情報処理・通信技術者,b-7その他の技術者,b-8教員_幼稚園,b-8教員_小学校,b-8教員_中学校,b-8教員_高等学校,b-8教員_中等教育学校,b-8教員_高等専門学校,b-8教員_短期大学,b-8教員_大学,b-8教員_特別支援学校,b-8教員_その他,b-9医師，歯科医師,b-9獣医師,b-9薬剤師,b-10保健師，助産師，看護師,b-11医療技術者,b-12その他の保健医療従事者(栄養士),b-12その他の保健医療従事者(その他),b-13美術・写真・デザイナー・音楽・舞台,b-14その他,a管理的職業従事者,c事務従事者,d販売従事者,eサービス職業従事者,f保安職業従事者,g-1農林業従事者,g-2漁業従事者,h生産工程従事者,i輸送・機械運転従事者,j建設・採掘従事者,k運搬・清掃・包装等従事者,左記以外（職）,職業別計,A農業・林業,B漁業,C鉱業・採石業・砂利採取業,D建設業,E-1食料品・飲料・たばこ・飼料製造業,E-2繊維工業,E-3印刷・同関連業,E-4化学工業・石油製品・石炭製品製造業,E-5鉄鋼業・非鉄金属・金属製品製造業,E-6はん用・生産用・業務用機械器具製造業,E-7電子部品・デバイス・電子回路製造業,E-8電気・情報通信機械器具製造業,E-9輸送用機械器具製造業,E-10その他の製造業,F電気・ガス・熱供給・水道業,G情報通信業,H運輸業・郵便業,I-1卸売業,I-2小売業,J-1金融業,J-2保険業,K-1不動産取引・賃貸・管理業,K-2物品賃貸業,L-1学術・開発研究機関,L-2法務,L-3その他の専門技術サービス業,M宿泊業，飲食サービス業,N生活関連サービス業，娯楽業,O-1学校教育,O-2その他の教育、学習支援業,P-1保険業、保険衛生,P-2社会保険・社会福祉・介護事業,Q複合サービス事業,R-1宗教,R-2その他のサービス業,S-1国家公務,S-2地方公務,左記以外（産）,産業別計
2024,F101110100010,1C09,01,1,北海道大学,1,経済学部,,1,経営学科,C205,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,1,,,,1,,,,,25,,,,,2,,1,1,,,,2,,1,,3,1,,,5,1,,1,,,1,,,,,,,,,,3,3,,25
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,数,E101,男,,,,,,,,,,,,5,,,,1,1,,,,,,,,,,,,,,,1,,3,2,2,,,,,,,,,15,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,,,,,,,2,1,,,,,,,1,,15
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,数,E101,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,4,,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,4
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,物理,E201,男,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,3
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,物理,E201,女,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,化,E301,男,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,3
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,化,E301,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,生物科,E411,男,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,生物科,E411,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,地球惑星科,E518,男,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,6,1,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,6
2024,F101110100010,1E01,01,1,北海道大学,1,理学部,,1,地球惑星科,E518,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,機械知能工学科,G128,男,,,,2,,,1,,,,,5,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,1,,,,13,,,,,,,,1,,,1,1,,1,1,3,,,,,,,,,,3,,,,,,,,,,,1,1,13
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,機械知能工学科,G128,女,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,情報エレクトロニクス学科,G2B5,男,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,14,,,,,,,,,,,,1,,,1,7,,,,,,,,,,2,,,,1,,,,,,1,,1,14
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,情報エレクトロニクス学科,G2B5,女,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,応用理工系学科,G519,男,,,,2,,,,1,,,,6,2,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,14,,,,,,,,,,,,2,2,,,6,,1,,,,,1,,,,,1,1,,,,,,,,,,14
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,応用理工系学科,G519,女,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,環境社会工学科,J9K6,男,1,,,,,,,,,1,4,2,6,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,1,1,,,31,,,,3,,,,,1,,,,,,3,1,3,,,1,,1,,,,9,,,,,,,,,1,3,5,,31
2024,F101110100010,1G01,01,1,北海道大学,1,工学部,,1,環境社会工学科,J9K6,女,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,2,,,,,1,,,,2,,1,,,,,,,,1,,,8
2024,F101110100010,1G60,01,1,北海道大学,2,工学院,1,1,共同資源工学,J9GA,男,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,10,,,1,2,,,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,10
2024,F101110100010,1G60,01,1,北海道大学,2,工学院,1,1,共同資源工学,J9GA,女,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
2024,F101110100010,1G78,01,1,北海道大学,2,情報科学院,1,1,情報科学,E103,男,8,,2,20,,6,1,7,,,,81,8,,,,,,,,,,,,,,,,,,,1,,4,1,1,,,,,,,,1,141,,,,,,,,3,3,7,10,18,6,2,7,70,1,,1,,1,,,,,8,,,,1,,,,,,3,,,141
2024,F101110100010,1G78,01,1,北海道大学,2,情報科学院,1,1,情報科学,E103,女,0,,0,1,,2,0,0,,,,7,0,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,,,0,10,,,,,,,,1,0,0,1,1,0,0,0,7,0,,0,,0,,,,,0,,,,0,,,,,,0,,,10
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物資源科,K218,男,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,3
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物資源科,K218,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物機能化,K222,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物機能化,K222,女,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物環境工,K315,男,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,生物環境工,K315,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,農業経済,K401,男,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,6,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,,6
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,農業経済,K401,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,4
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,森林科,K503,男,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,1,1,,6
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,森林科,K503,女,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,4,,,,,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,4
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,畜産科(課程),K714,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,畜産科(課程),K714,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,応用生命科,L923,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,F101110100010,1K01,01,1,北海道大学,1,農学部,,1,応用生命科,L923,女,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,海洋生物科学,K832,男,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,海洋生物科学,K832,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,,4
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,海洋資源科学,K833,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,3
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,海洋資源科学,K833,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,増殖生命科学,L966,男,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,4
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,増殖生命科学,L966,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,資源機能化学,L967,男,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,,1,,,,,1,,,,10,,,,,2,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,1,1,1,,10
2024,F101110100010,1K08,01,1,北海道大学,1,水産学部,,1,資源機能化学,L967,女,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3
