73　関係学科別状況別卒業者数（14－1）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1　計（1）計,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
令和5年3月,保健,薬学,11120,1188,12,8200,156,2,－,131,1430,1,1,11,147,8371
令和5年3月,保健,看護学,22372,900,3,20120,678,26,－,117,525,3,1,39,609,20772
令和5年3月,保健,その他,24123,1546,82,19711,925,91,－,168,1598,2,49,14,771,20627
令和5年3月,商船,計,116,54,－,54,－,－,－,－,8,－,－,－,－,54
令和5年3月,商船,商船学,116,54,－,54,－,－,－,－,8,－,－,－,－,54
令和5年3月,家政,計,17324,493,61,14728,856,132,－,118,934,2,1,1,722,15513
令和5年3月,家政,家政学,4682,97,12,3981,242,25,－,43,281,1,－,－,205,4198
令和5年3月,家政,食物学,9371,278,21,8262,358,41,－,37,373,1,1,1,307,8592
令和5年3月,家政,被服学,1473,24,24,1039,107,47,－,29,203,－,－,－,78,1141
令和5年3月,家政,住居学,298,47,－,218,6,5,－,4,18,－,－,－,6,224
令和5年3月,家政,児童学,1344,11,4,1124,142,11,－,4,48,－,－,－,125,1253
令和5年3月,家政,その他,156,36,－,104,1,3,－,1,11,－,－,－,1,105
令和5年3月,教育,計,44883,2158,195,33988,5861,228,－,315,2113,25,2,2,4586,38773
令和5年3月,教育,教育学,10369,426,31,7914,1382,55,－,64,491,6,1,－,1103,9049
令和5年3月,教育,小学校課程,2700,179,8,2020,383,4,－,9,97,－,－,－,265,2293
令和5年3月,教育,中学校課程,79,9,－,59,6,－,－,－,5,－,－,－,4,63
令和5年3月,教育,高等学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,特別教科課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,盲学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,聾学校課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,中等教育学校課程,987,89,1,629,215,1,－,5,47,－,－,－,128,758
令和5年3月,教育,養護学校課程,7,－,－,4,3,－,－,－,－,－,－,－,2,6
令和5年3月,教育,幼稚園課程,2,－,－,2,－,－,－,－,－,－,－,－,－,2
令和5年3月,教育,体育学,8714,336,70,6322,1196,99,－,117,565,9,1,2,906,7301
令和5年3月,教育,障害児教育課程,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,教育,特別支援教育課程,258,19,－,194,37,－,－,1,7,－,－,－,29,223
令和5年3月,教育,その他,21767,1100,85,16844,2639,69,－,119,901,10,－,－,2149,19078
令和5年3月,芸術,計,16964,1574,1108,8712,1428,405,－,401,3333,3,1,6,1056,10883
令和5年3月,芸術,美術,2855,425,191,1305,205,48,－,59,620,2,－,－,135,1631
令和5年3月,芸術,デザイン,4149,191,167,2607,242,59,－,59,824,－,－,－,160,2934
令和5年3月,芸術,音楽,3595,612,407,1250,495,104,－,143,584,－,－,6,365,2028
令和5年3月,芸術,その他,6365,346,343,3550,486,194,－,140,1305,1,1,－,396,4290
令和5年3月,その他,計,44246,4147,392,32778,1810,385,－,626,4028,80,－,1,1274,34445
令和5年3月,その他,教養学,1478,98,9,1101,57,19,－,35,158,1,－,－,29,1139
令和5年3月,その他,総合科学,130,28,2,90,1,1,－,－,8,－,－,－,1,93
令和5年3月,その他,人文・社会科学,7925,246,38,6207,330,90,－,114,895,5,－,－,226,6471
令和5年3月,その他,国際関係学（国際関係学部）,3972,107,37,3132,134,28,－,99,434,1,－,－,83,3252
令和5年3月,その他,人間関係科学,3880,130,61,2982,355,20,－,78,234,20,－,－,244,3287
令和5年3月,その他,その他,26861,3538,245,19266,933,227,－,300,2299,53,－,1,691,20203
この表は，大学学部の卒業者を卒業した関係学科により分類（付属資料 － 学科系統分類表による。）したものである。,,,,,,,,,,,,,,,,
