大学院,,,,,,,,,,,,,,,,
79   修士課程の状況別卒業者数  （ 8 － 1 ）,,,,,,,,,,,,,,,,
1   計  （1）  計,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
令和5年3月,教育,計,2076,195,37,1140,279,9,－,11,403,2,3,－,179,1359
令和5年3月,教育,教育学,1141,141,21,579,115,8,－,8,268,1,3,－,74,677
令和5年3月,教育,教員養成,598,11,3,398,101,－,－,－,85,－,－,－,61,462
令和5年3月,教育,体育学,318,43,13,152,61,－,－,3,45,1,－,－,42,207
令和5年3月,教育,その他,19,－,－,11,2,1,－,－,5,－,－,－,2,13
令和5年3月,芸術,計,2187,150,309,566,285,36,－,69,772,－,－,1,129,1005
令和5年3月,芸術,美術,495,41,47,142,48,12,－,11,194,－,－,－,24,213
令和5年3月,芸術,デザイン,346,13,28,131,26,4,－,3,141,－,－,－,11,170
令和5年3月,芸術,音楽,681,45,134,93,128,18,－,50,213,－,－,1,47,275
令和5年3月,芸術,その他,665,51,100,200,83,2,－,5,224,－,－,－,47,347
令和5年3月,その他,計,11327,1328,94,7876,416,19,－,53,1530,11,25,6,299,8300
令和5年3月,その他,自然科学,2490,287,4,1965,53,3,－,9,165,4,1,－,44,2014
令和5年3月,その他,社会・自然科学,477,51,7,293,26,1,－,－,99,－,1,3,21,325
令和5年3月,その他,人文・社会科学,1153,136,10,573,80,6,－,14,329,5,6,－,43,632
令和5年3月,その他,その他,7207,854,73,5045,257,9,－,30,937,2,17,3,191,5329
この表は，大学院研究科（修士課程，博士前期課程）の卒業者を専攻分野により分類（付属資料 － 学科系統分類表による。）したものである。,,,,,,,,,,,,,,,,
