83  博士課程の状況別卒業者数  （ 8 － 1 ）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1   計  （1）  計,,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,卒業者のうち満期退学者（再掲）,就職者（再掲）（a，b，c，d）
令和5年3月,家政,住居学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,家政,児童学,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,家政,その他,14,1,－,5,5,1,－,－,2,－,－,－,4,3,9
令和5年3月,教育,計,404,4,3,189,107,8,－,－,79,14,－,－,90,148,282
令和5年3月,教育,教育学,262,2,3,115,65,6,－,－,61,10,－,－,55,106,173
令和5年3月,教育,教員養成,57,－,－,41,9,－,－,－,7,－,－,－,5,17,46
令和5年3月,教育,体育学,83,2,－,31,33,2,－,－,11,4,－,－,30,25,61
令和5年3月,教育,その他,2,－,－,2,－,－,－,－,－,－,－,－,－,－,2
令和5年3月,芸術,計,124,－,19,19,24,－,－,3,59,－,－,－,8,23,46
令和5年3月,芸術,美術,43,－,10,3,12,－,－,－,18,－,－,－,6,6,19
令和5年3月,芸術,デザイン,3,－,－,2,－,－,－,－,1,－,－,－,－,－,2
令和5年3月,芸術,音楽,30,－,6,3,7,－,－,3,11,－,－,－,－,6,9
令和5年3月,芸術,その他,48,－,3,11,5,－,－,－,29,－,－,－,2,11,16
令和5年3月,その他,計,2039,9,25,879,515,7,－,4,583,17,2,－,379,468,1285
令和5年3月,その他,自然科学,513,4,5,210,152,1,－,－,140,1,－,－,120,119,335
令和5年3月,その他,社会・自然科学,144,－,2,65,32,－,－,－,45,－,－,－,25,32,92
令和5年3月,その他,人文・社会科学,321,2,2,109,72,1,－,1,123,11,1,－,48,126,160
令和5年3月,その他,その他,1061,3,16,495,259,5,－,3,275,5,1,－,186,191,698
1． この表は，大学院研究科（博士後期課程，一貫制博士課程）の卒業者を専攻分野により分類（付属資料 － 学科系統分類表による。）したものである。,,,,,,,,,,,,,,,,,
2． 「卒業者のうち満期退学者」とは，所定の年限以上在学し，所定の単位を修得したが，博士の学位を取らずに卒業した者をいう。,,,,,,,,,,,,,,,,,
