Australia,,24208 ,,,S2   28776,29866 ,35029 ,36730 ,40012 ,,43176 ,,52157 ,,56873 ,,61041 ,,62865 ,,66001 ,,73173 ,,81192 ,,87201 ,,92649 ,,,,,,,,,,,,,,,
Austria,,D   6712,,,,D   7609,,,,D   8782,,,,D   12821,,,,,D   18715,,,,D   24124,,D   25955,DE   28470,D   29199,D   31676,DE   34508,D   34664,DE   36581,D   37114,DE   39701,D   40426,DE   42627,D   43562,DE   46993,D   47521,DE   50139,D   52794,DE   51892,D   56533,E   59646,DP   63702
Belgium,,DE   12747,D   13410,DE   13431,D   13906,DE   14759,D   15705,D   16045,D   16646,BD   17620,,DE   18105,,BD   20979,D   22563,D   23309,D   25130,D   26263,D   27592,D   29732,D   30540,D   32237,D   30668,D   30917,D   32400,D   33146,D   34879,D   36318,D   36774,D   38225,D   40832,D   42686,D   45597,D   46355,D   50820,BD   53178,DE   54280,D   54010,D   57456,D   60619,D   62448,BD   76233,E   80383,P   83274
Canada,,40420 ,44200 ,45690 ,48820 ,52520 ,57320 ,59350 ,62360 ,63860 ,65730 ,67730 ,72070 ,75490 ,85900 ,87380 ,90490 ,93180 ,95214 ,98648 ,107900 ,114510 ,115960 ,123230 ,130380 ,136700 ,140660 ,151330 ,157200 ,150220 ,158660 ,165100 ,161600 ,163180 ,B   161922,162710 ,159000 ,161990 ,174690 ,182140 ,196010 ,211080 ,217000 ,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,D   5551,D   5959,DM2   4859,DM2   5440,D   6078,D   6798,D   5893,D   7585,D   8175,D   8985,D   9099,DE   9804,DE   9671,DE   9962,BD   12400,D   14493,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160 ,2905 ,3089 ,2241 ,2070 ,,1867 ,2053 ,,
Italy,,D   52060,D   56707,D   63021,D   61979,D   63759,D   67844,D   70556,D   74833,D   76074,D   77876,D   75238,D   74422,D   74434,D   75722,D   75536,D   76441,BD   65694,D   65354,D   65098,D   66110,D   66702,D   71242,D   70332,D   72012,D   82489,D   88430,D   93000,D   95766,D   101840,D   103424,D   106151,D   110695,D   116163,D   118183,D   125875,BD   133706,D   140378,D   152307,D   160824,D   156989,D   158960,D   166822,DP   170388
Japan,,E   310993,E   320991,E   347420,E   357416,E   380761,E   392981,E   415553,E   434643,E   457522,E   477866,E   491102,E   511407,E   526501,E   541015,E   551990,BD   617365,D   625442,D   652845,D   658910,D   647572,D   653021,D   623035,D   652369,D   653747,D   680631,D   684884,D   684311,BD   656676,D   655530,D   656032,D   656651,D   646347,BD   660489,D   682935,D   662071,D   665566,D   676292,BD   678134,D   681821,D   689889,D   704502,D   705551,D   699232
Korea,,,,,,,,,,,,,,,,D   100456,D   99433,D   102660,D   92541,D   100210,D   108370,D   136337,D   141917,D   151254,D   156220,D   179812,D   199990,B   221928,236137 ,244077 ,264118 ,288901 ,315589 ,321842 ,345463 ,356447 ,361292 ,383100 ,408370 ,430690 ,446739 ,470728 ,488774 ,490256 
Latvia,,,,,,,,,,,,,,D   3999,D   3010,D   3072,D   2839,D   2610,D   2557,D   2626,D   3814,D   3497,D   3451,D   3203,D   3324,D   3282,D   3935,D   4157,D   4370,D   3621,D   3896,D   3947,D   3904,D   3625,D   3748,D   3613,D   3152,D   3482,D   3456,D   3632,D   4072,D   4537,D   4261,D   4120
Lithuania,,,,,,,,,,,,,,,,,7532 ,7800 ,8436 ,8539 ,7777 ,8075 ,6326 ,6606 ,7356 ,7637 ,7980 ,8467 ,8433 ,8490 ,8599 ,8390 ,8023 ,8557 ,9075 ,8167 ,8525 ,8741 ,8938 ,9630 ,10183 ,11036 ,11599 ,P   10508
Luxembourg,,,,,,,,,,,,,,,,,,,,,1646 ,,,1949 ,2031 ,2227 ,2054 ,E   2201,2288 ,2396 ,2613 ,2831 ,B   2310,2503 ,2629 ,2610 ,2767 ,2936 ,2863 ,3126 ,3082 ,3136 ,3429 ,P   3452
Mexico,,,,,,,,,,,,,,14103 ,17061 ,19434 ,19894 ,21417 ,E   20832,E   21879,,23390 ,31132 ,33558 ,B   39724,43922 ,36264 ,37930 ,37639 ,42973 ,38497 ,39826 ,29094 ,29921 ,31315 ,34282 ,38883 ,E   39125,,,,,,
Netherlands,,19436 ,,BE   22040,,24150 ,,E   25500,,26680 ,,,,32190 ,B   34178,34640 ,B   35535,38053 ,39081 ,41803 ,42194 ,45599 ,B   43875,B   43805,48402 ,47854 ,53150 ,51057 ,50727 ,46958 ,53703 ,B   61335,B   73235,B   82797,83710 ,83488 ,87612 ,91023 ,95475 ,97713 ,102077 ,106099 ,B   112414,P   117685
New Zealand,,,,,,,,,,4818 ,4893 ,4752 ,B   5903,6200 ,,6104 ,,8264 ,,8768 ,,B   10329,,12363 ,,12986 ,,14600 ,,16100 ,,16300 ,,17900 ,,25000 ,,24000 ,,28000 ,,26000 ,,
Norway,,D   7498,DE   7754,D   8283,DE   8970,D   9692,,D   11465,,D   12156,,D   13460,,D   14763,,BD   15931,,D   17490,,D   18295,,19685 ,,20547 ,20662 ,21200 ,22580 ,24351 ,25578 ,26273 ,26451 ,27228 ,27841 ,28312 ,29237 ,30632 ,31913 ,33632 ,34337 ,35898 ,36316 ,38971 ,40117 ,P   41003
Poland,,,,,,,,,,,,,,,47433 ,50425 ,52474 ,55602 ,56179 ,56433 ,55174 ,56148 ,56725 ,58595 ,60944 ,62162 ,59573 ,61395 ,61805 ,61105 ,64511 ,64133 ,67001 ,71472 ,78622 ,82594 ,88165 ,D   114585,D   117789,D   120780,D   124600,D   135650,141243 ,142644 
Portugal,,,D   3963,DE   4209,D   4455,DE   5089,D   5723,DE   6142,D   6561,DE   7149,D   7736,DE   8594,D   9451,DE   9865,DE   10331,D   11599,DE   12621,D   13642,DE   14697,D   15752,DE   16738,D   17725,DE   18984,D   20242,DE   20684,D   21126,DE   24651,D   28176,BD   40408,D   39834,D   41523,D   44056,D   42498,BD   37813,D   38155,D   38672,D   41349,D   44938,D   47652,D   50166,D   53174,D   56365,D   59160,DP   62476
Slovak Republic,,,,,,,,,,,,,,,D   10249,D   9711,D   10010,BD   9993,D   10145,D   9204,D   9955,D   9585,D   9181,D   9627,D   10718,D   10921,D   11776,D   12354,D   12587,D   13290,D   15183,D   15326,D   15271,D   14727,D   14742,D   14406,D   14149,D   15226,D   16337,D   16977,D   17276,D   17519,D   18394,D   19344
Slovenia,,,,,,,,,,,,,,E   3745,4767 ,4897 ,4489 ,4022 ,4285 ,4427 ,4336 ,4498 ,4642 ,3775 ,4030 ,5253 ,5857 ,6250 ,B   7032,7446 ,7703 ,B   8774,8884 ,8707 ,8574 ,7900 ,8119 ,D   9301,D   10068,D   10506,D   10845,D   11068,D   11347,DP   11893
Spain,,19268 ,18782 ,19450 ,20506 ,21455 ,DE   24525,E   26463,E   31170,32914 ,37676 ,40642 ,41681 ,43367 ,E   47867,47342 ,E   51633,53883 ,E   60269,61568 ,76670 ,80081 ,83318 ,92523 ,100994 ,109720 ,115798 ,122624 ,BD   130986,D   133803,D   134653,D   130235,D   126778,D   123225,D   122235,D   122437,D   126633,D   133213,D   140120,D   143974,D   145372,D   154125,D   161751,DP   175045
Sweden,,E   17896,,E   19181,,DE   21899,,DE   22725,,DE   25585,,DE   26515,,BE   29252,,33665 ,,36878 ,,39921 ,,45995 ,,48186 ,48784 ,BE   55001,55729 ,BDE   45812,E   50220,E   47308,E   49312,E   48702,E   49280,BE   64194,E   66643,E   66734,E   70372,73132 ,E   75151,78629 ,80089 ,84695 ,90304 ,93770 
Switzerland,,,,,,,,,,,,,17710 ,,,,22105 ,,,,26105 ,,,,25400 ,,,,25142 ,,,,35785 ,,,43740 ,,44273 ,,47534 ,,52222 ,,
Türkiye,,,,,,,,,,,11225 ,11948 ,12573 ,13605 ,14460 ,15854 ,18085 ,18908 ,18925 ,20065 ,23083 ,22702 ,23995 ,32660 ,33877 ,39139 ,42663 ,49668 ,52811 ,57759 ,64341 ,72109 ,82122 ,89075 ,89657 ,89777 ,102382 ,116904 ,132949 ,147619 ,168486 ,190973 ,215515 ,230533 
United Kingdom,,127000 ,128000 ,127000 ,129000 ,131000 ,134000 ,134000 ,137000 ,133000 ,133000 ,B   128000,B   129000,131000 ,B   134000,145673 ,144735 ,145641 ,157662 ,E   167573,E   170554,E   182144,E   198163,E   216690,E   228969,BE   248599,E   254009,E   252651,E   251932,E   256124,E   256585,251358 ,E   256156,267699 ,E   276584,285855 ,E   291103,295842 ,,,,,,
