大学名称,No.,地区名,国公私立,大学グループ（分数カウントに基づくもの）,国際卓越（採択：◎、申請：○）,地域中核,論文数（５年合計値）2007-2011,論文数（５年合計値）2012-2017,論文数（５年合計値）2017-2021,化学論文数（５年合計値）2007-2011,化学論文数（５年合計値）2012-2017,化学論文数（５年合計値）2017-2021,材料科学論文数（５年合計値）2007-2011,材料科学論文数（５年合計値）2012-2017,材料科学論文数（５年合計値）2017-2021,物理学論文数（５年合計値）2007-2011,物理学論文数（５年合計値）2012-2017,物理学論文数（５年合計値）2017-2021,計算機・数学論文数（５年合計値）2007-2011,計算機・数学論文数（５年合計値）2012-2017,計算機・数学論文数（５年合計値）2017-2021,工学論文数（５年合計値）2007-2011,工学論文数（５年合計値）2012-2017,工学論文数（５年合計値）2017-2021,環境・地球科学論文数（５年合計値）2007-2011,環境・地球科学論文数（５年合計値）2012-2017,環境・地球科学論文数（５年合計値）2017-2021,臨床医学論文数（５年合計値）2007-2011,臨床医学論文数（５年合計値）2012-2017,臨床医学論文数（５年合計値）2017-2021,基礎生命科学論文数（５年合計値)2007-2011,基礎生命科学論文数（５年合計値）2012-2017,基礎生命科学論文数（５年合計値）2017-2021,Top10%補正論文数（５年合計値）2007-2011,Top10%補正論文数（５年合計値）2012-2017,Top10%補正論文数（５年合計値）2017-2021,化学Top10%補正論文数（５年合計値）2007-2011,化学Top10%補正論文数（５年合計値）2012-2017,化学Top10%補正論文数（５年合計値）2017-2021,材料科学Top10%補正論文数（５年合計値）2007-2011,材料科学Top10%補正論文数（５年合計値）2012-2017,材料科学Top10%補正論文数（５年合計値）2017-2021,物理学Top10%補正論文数（５年合計値）2007-2011,物理学Top10%補正論文数（５年合計値）2012-2017,物理学Top10%補正論文数（５年合計値）2017-2021,計算機・数学Top10%補正論文数（５年合計値）2007-2011,計算機・数学Top10%補正論文数（５年合計値）2012-2017,計算機・数学Top10%補正論文数（５年合計値）2017-2021,工学Top10%補正論文数（５年合計値）2007-2011,工学Top10%補正論文数（５年合計値）2012-2017,工学Top10%補正論文数（５年合計値）2017-2021,環境・地球科学Top10%補正論文数（５年合計値）2007-2011,環境・地球科学Top10%補正論文数（５年合計値）2012-2017,環境・地球科学Top10%補正論文数（５年合計値）2017-2021,臨床医学Top10%補正論文数（５年合計値）2007-2011,臨床医学Top10%補正論文数（５年合計値）2012-2017,臨床医学Top10%補正論文数（５年合計値）2017-2021,基礎生命科学Top10%補正論文数（５年合計値)2007-2011,基礎生命科学Top10%補正論文数（５年合計値）2012-2017,基礎生命科学Top10%補正論文数（５年合計値）2017-2021,リードしている論文数（５年合計値）2007-2011,リードしている論文数（５年合計値）2012-2017,リードしている論文数（５年合計値）2017-2021,リードしている化学論文数（５年合計値）2007-2011,リードしている化学論文数（５年合計値）2012-2017,リードしている化学論文数（５年合計値）2017-2021,リードしている材料科学論文数（５年合計値）2007-2011,リードしている材料科学論文数（５年合計値）2012-2017,リードしている材料科学論文数（５年合計値）2017-2021,リードしている物理学論文数（５年合計値）2007-2011,リードしている物理学論文数（５年合計値）2012-2017,リードしている物理学論文数（５年合計値）2017-2021,リードしている計算機・数学論文数（５年合計値）2007-2011,リードしている計算機・数学論文数（５年合計値）2012-2017,リードしている計算機・数学論文数（５年合計値）2017-2021,リードしている工学論文数（５年合計値）2007-2011,リードしている工学論文数（５年合計値）2012-2017,リードしている工学論文数（５年合計値）2017-2021,リードしている環境・地球科学論文数（５年合計値）2007-2011,リードしている環境・地球科学論文数（５年合計値）2012-2017,リードしている環境・地球科学論文数（５年合計値）2017-2021,リードしている臨床医学論文数（５年合計値）2007-2011,リードしている臨床医学論文数（５年合計値）2012-2017,リードしている臨床医学論文数（５年合計値）2017-2021,リードしている基礎生命科学論文数（５年合計値)2007-2011,リードしている基礎生命科学論文数（５年合計値）2012-2017,リードしている基礎生命科学論文数（５年合計値）2017-2021,医学・基礎生命科学系論文割合（５年合計値）2017-2021,医学・基礎生命科学を除いた論文数（５年合計値）2017-2021,日本全体の論文数に占める割合（５年合計値）2017-2021,Top10%補正論文割合（５年合計値）2007-2011,Top10%補正論文割合（５年合計値）2012-2017,Top10%補正論文割合（５年合計値）2017-2021,化学Top10%補正論文割合（５年合計値）2007-2011,化学Top10%補正論文割合（５年合計値）2012-2017,化学Top10%補正論文割合（５年合計値）2017-2021,材料科学Top10%補正論文割合（５年合計値）2007-2011,材料科学Top10%補正論文割合（５年合計値）2012-2017,材料科学Top10%補正論文割合（５年合計値）2017-2021,物理学Top10%補正論文割合（５年合計値）2007-2011,物理学Top10%補正論文割合（５年合計値）2012-2017,物理学Top10%補正論文割合（５年合計値）2017-2021,計算機・数学Top10%補正論文割合（５年合計値）2007-2011,計算機・数学Top10%補正論文割合（５年合計値）2012-2017,計算機・数学Top10%補正論文割合（５年合計値）2017-2021,工学Top10%補正論文割合（５年合計値）2007-2011,工学Top10%補正論文割合（５年合計値）2012-2017,工学Top10%補正論文割合（５年合計値）2017-2021,環境・地球科学Top10%補正論文割合（５年合計値）2007-2011,環境・地球科学Top10%補正論文（５年合計値）2012-2017,環境・地球科学Top10%補正論文割合（５年合計値）2017-2021,臨床医学Top10%補正論文割合（５年合計値）2007-2011,臨床医学Top10%補正論文（５年合計値）2012-2017,臨床医学Top10%補正論文割合（５年合計値）2017-2021,基礎生命科学Top10%補正論文割合（５年合計値)2007-2011,基礎生命科学Top10%補正論文割合（５年合計値）2012-2017,基礎生命科学Top10%補正論文割合（５年合計値）2017-2021
帯広畜産大学,11,北海道・東北地区,01_国立大学,4G,,,874,851,1047,14,9,32,0,0,4,8,2,4,4,2,0,1,6,10,15,22,44,56,32,57,770,773,893,26,24,45,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,1,3,22,21,34,481,499,558,9,0,10,0,0,1,8,0,0,1,2,0,0,3,6,4,5,16,21,14,19,438,472,506,0.907354346,94,0.001750971,0.029748284,0.028202115,0.042979943,0.071428571,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.1,0.066666667,0.090909091,0.090909091,0.035714286,0.03125,0.052631579,0.028571429,0.027166882,0.038073908
香川大学,12,中国・四国地区,01_国立大学,4G,,,1650,1848,2040,77,126,146,47,58,80,51,60,69,26,25,30,56,54,105,49,53,86,545,683,826,795,784,690,80,159,189,3,7,12,6,3,3,0,2,4,0,1,1,3,5,11,5,8,9,28,53,88,34,80,59,951,948,917,36,54,68,21,29,34,33,42,28,15,14,19,27,30,44,22,19,31,347,389,385,448,371,305,0.743137255,516,0.003411634,0.048484848,0.086038961,0.092647059,0.038961039,0.055555556,0.082191781,0.127659574,0.051724138,0.0375,0,0.033333333,0.057971014,0,0.04,0.033333333,0.053571429,0.092592593,0.104761905,0.102040816,0.150943396,0.104651163,0.051376147,0.077598829,0.10653753,0.042767296,0.102040816,0.085507246
鹿児島大学,13,九州・沖縄地区,01_国立大学,3G,,,3095,3458,4153,207,200,206,129,119,102,221,197,287,64,63,44,85,68,70,148,165,251,926,1111,1292,1304,1522,1863,171,241,258,15,5,10,4,1,0,11,7,16,4,0,2,6,1,2,4,10,9,75,127,121,49,91,96,1760,1752,1784,145,139,117,108,71,69,91,74,79,46,45,29,55,32,28,67,66,77,560,602,594,683,719,778,0.759691789,960,0.00694535,0.055250404,0.069693464,0.062123766,0.072463768,0.025,0.048543689,0.031007752,0.008403361,0,0.049773756,0.035532995,0.055749129,0.0625,0,0.045454545,0.070588235,0.014705882,0.028571429,0.027027027,0.060606061,0.035856574,0.080993521,0.114311431,0.093653251,0.037576687,0.05978975,0.051529791
金沢大学,14,東海・北陸・近畿地区,01_国立大学,2G,,○,4736,5118,6643,536,667,875,128,138,296,349,374,146,117,100,164,126,168,307,314,359,540,1703,1817,2256,1437,1478,1700,412,421,589,46,45,66,11,4,20,29,32,47,7,6,9,6,8,14,14,24,41,173,191,255,125,109,136,2608,2701,3215,329,424,516,84,58,144,191,211,202,79,61,85,72,101,173,163,159,188,922,1009,1137,765,676,760,0.595514075,2328,0.01110955,0.086993243,0.082258695,0.08866476,0.085820896,0.067466267,0.075428571,0.0859375,0.028985507,0.067567568,0.083094556,0.085561497,0.321917808,0.05982906,0.06,0.054878049,0.047619048,0.047619048,0.045602606,0.044585987,0.066852368,0.075925926,0.101585437,0.105118327,0.113031915,0.086986778,0.073748309,0.08
北見工業大学,15,北海道・東北地区,01_国立大学,4G,,,442,429,550,96,96,74,65,93,111,75,60,87,8,10,37,107,81,109,51,43,67,7,4,5,33,42,55,16,13,27,2,4,2,0,1,1,0,4,11,0,0,1,12,3,4,1,1,6,0,0,0,1,0,0,278,271,298,76,72,44,36,55,83,47,45,37,6,5,20,64,52,67,29,18,14,4,2,3,46,23,29,0.109090909,485,0.000919803,0.036199095,0.03030303,0.049090909,0.020833333,0.041666667,0.027027027,0,0.010752688,0.009009009,0,0.066666667,0.126436782,0,0,0.027027027,0.112149533,0.037037037,0.036697248,0.019607843,0.023255814,0.089552239,0,0,0,0.03030303,0,0
岐阜大学,16,東海・北陸・近畿地区,01_国立大学,3G,,,3429,3631,4174,468,437,435,145,108,167,179,246,250,56,68,57,112,99,172,116,141,185,783,876,1164,1546,1635,1707,180,223,317,18,16,21,4,3,1,19,40,20,9,3,1,4,4,5,4,5,10,53,74,146,67,76,112,1941,1749,1931,312,280,268,101,63,83,92,84,83,37,39,22,77,63,108,38,55,72,529,474,531,742,681,746,0.68782942,1266,0.00698047,0.052493438,0.061415588,0.075946334,0.038461538,0.036613272,0.048275862,0.027586207,0.027777778,0.005988024,0.106145251,0.162601626,0.08,0.160714286,0.044117647,0.01754386,0.035714286,0.04040404,0.029069767,0.034482759,0.035460993,0.054054054,0.067688378,0.084474886,0.125429553,0.043337646,0.04648318,0.065612185
九州大学,17,九州・沖縄地区,01_国立大学,2G,○,,14744,16692,19055,2416,2561,2694,970,1343,1812,1878,2221,2128,522,594,665,1008,1146,1644,841,1013,1363,2685,3235,3940,4365,4485,4649,1192,1665,1852,246,269,253,93,131,138,115,341,268,36,43,35,58,87,151,50,75,130,271,376,474,315,336,379,8765,8975,9008,1547,1470,1441,580,752,882,1012,916,716,329,344,335,579,677,818,409,448,515,1719,1917,1951,2564,2405,2289,0.450747835,10306,0.031867,0.080846446,0.099748382,0.097192338,0.101821192,0.105037095,0.093912398,0.095876289,0.097542815,0.07615894,0.061235357,0.153534444,0.12593985,0.068965517,0.072390572,0.052631579,0.057539683,0.07591623,0.091849148,0.059453032,0.074037512,0.095377843,0.100931099,0.116228748,0.120304569,0.072164948,0.074916388,0.081522908
九州工業大学,18,九州・沖縄地区,01_国立大学,4G,,○,1571,1577,2023,244,300,382,188,245,367,420,374,356,204,148,210,266,277,395,12,22,53,32,32,32,204,177,226,70,117,208,12,34,37,4,15,37,21,23,20,14,13,37,12,16,41,0,0,4,2,3,3,4,12,28,878,812,1006,156,164,218,118,122,170,210,188,184,140,100,114,157,146,201,3,8,11,3,11,13,91,73,94,0.127533366,1763,0.003383203,0.044557607,0.074191503,0.102817598,0.049180328,0.113333333,0.096858639,0.021276596,0.06122449,0.100817439,0.05,0.061497326,0.056179775,0.068627451,0.087837838,0.176190476,0.045112782,0.057761733,0.103797468,0,0,0.075471698,0.0625,0.09375,0.09375,0.019607843,0.06779661,0.123893805
京都大学,19,東海・北陸・近畿地区,01_国立大学,1G,○,,27296,29316,33030,4621,5138,5268,1385,1465,1974,5469,5522,5411,1090,1147,1250,1464,1558,1990,1694,1927,2606,3409,4339,5636,7982,8028,8581,3144,3483,3586,668,672,501,157,171,196,692,858,788,92,106,88,123,104,119,106,134,213,400,580,798,885,840,852,15403,14741,14683,3209,2980,2875,807,801,914,2870,2341,2051,759,719,727,859,828,966,773,830,980,1772,2102,2367,4268,4034,3697,0.430426885,18499,0.055238363,0.115181712,0.118808842,0.108567969,0.144557455,0.130790191,0.095102506,0.113357401,0.116723549,0.09929078,0.126531359,0.155378486,0.145629274,0.08440367,0.092414996,0.0704,0.084016393,0.066752246,0.059798995,0.06257379,0.069538142,0.081734459,0.117336462,0.133671353,0.14158978,0.110874468,0.104633782,0.099289127
京都教育大学,20,東海・北陸・近畿地区,01_国立大学,その他,,,76,545,471,4,11,15,3,0,0,66,519,427,1,11,14,0,0,2,0,1,1,1,2,1,1,1,11,31,230,137,1,1,3,0,0,0,30,224,134,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,14,0,0,0,3,0,0,0,0,1,1,8,9,0,0,1,0,0,0,0,0,1,1,0,2,0.025477707,459,0.000787686,0.407894737,0.422018349,0.290870488,0.25,0.090909091,0.2,0,0,0,0.454545455,0.431599229,0.31381733,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0,1,0
