大学名称,No.,地区名,国公私立,大学グループ（分数カウントに基づくもの）,国際卓越（採択：◎、申請：○）,地域中核,論文数（５年合計値）2007-2011,論文数（５年合計値）2012-2017,論文数（５年合計値）2017-2021,化学論文数（５年合計値）2007-2011,化学論文数（５年合計値）2012-2017,化学論文数（５年合計値）2017-2021,材料科学論文数（５年合計値）2007-2011,材料科学論文数（５年合計値）2012-2017,材料科学論文数（５年合計値）2017-2021,物理学論文数（５年合計値）2007-2011,物理学論文数（５年合計値）2012-2017,物理学論文数（５年合計値）2017-2021,計算機・数学論文数（５年合計値）2007-2011,計算機・数学論文数（５年合計値）2012-2017,計算機・数学論文数（５年合計値）2017-2021,工学論文数（５年合計値）2007-2011,工学論文数（５年合計値）2012-2017,工学論文数（５年合計値）2017-2021,環境・地球科学論文数（５年合計値）2007-2011,環境・地球科学論文数（５年合計値）2012-2017,環境・地球科学論文数（５年合計値）2017-2021,臨床医学論文数（５年合計値）2007-2011,臨床医学論文数（５年合計値）2012-2017,臨床医学論文数（５年合計値）2017-2021,基礎生命科学論文数（５年合計値)2007-2011,基礎生命科学論文数（５年合計値）2012-2017,基礎生命科学論文数（５年合計値）2017-2021,Top10%補正論文数（５年合計値）2007-2011,Top10%補正論文数（５年合計値）2012-2017,Top10%補正論文数（５年合計値）2017-2021,化学Top10%補正論文数（５年合計値）2007-2011,化学Top10%補正論文数（５年合計値）2012-2017,化学Top10%補正論文数（５年合計値）2017-2021,材料科学Top10%補正論文数（５年合計値）2007-2011,材料科学Top10%補正論文数（５年合計値）2012-2017,材料科学Top10%補正論文数（５年合計値）2017-2021,物理学Top10%補正論文数（５年合計値）2007-2011,物理学Top10%補正論文数（５年合計値）2012-2017,物理学Top10%補正論文数（５年合計値）2017-2021,計算機・数学Top10%補正論文数（５年合計値）2007-2011,計算機・数学Top10%補正論文数（５年合計値）2012-2017,計算機・数学Top10%補正論文数（５年合計値）2017-2021,工学Top10%補正論文数（５年合計値）2007-2011,工学Top10%補正論文数（５年合計値）2012-2017,工学Top10%補正論文数（５年合計値）2017-2021,環境・地球科学Top10%補正論文数（５年合計値）2007-2011,環境・地球科学Top10%補正論文数（５年合計値）2012-2017,環境・地球科学Top10%補正論文数（５年合計値）2017-2021,臨床医学Top10%補正論文数（５年合計値）2007-2011,臨床医学Top10%補正論文数（５年合計値）2012-2017,臨床医学Top10%補正論文数（５年合計値）2017-2021,基礎生命科学Top10%補正論文数（５年合計値)2007-2011,基礎生命科学Top10%補正論文数（５年合計値）2012-2017,基礎生命科学Top10%補正論文数（５年合計値）2017-2021,リードしている論文数（５年合計値）2007-2011,リードしている論文数（５年合計値）2012-2017,リードしている論文数（５年合計値）2017-2021,リードしている化学論文数（５年合計値）2007-2011,リードしている化学論文数（５年合計値）2012-2017,リードしている化学論文数（５年合計値）2017-2021,リードしている材料科学論文数（５年合計値）2007-2011,リードしている材料科学論文数（５年合計値）2012-2017,リードしている材料科学論文数（５年合計値）2017-2021,リードしている物理学論文数（５年合計値）2007-2011,リードしている物理学論文数（５年合計値）2012-2017,リードしている物理学論文数（５年合計値）2017-2021,リードしている計算機・数学論文数（５年合計値）2007-2011,リードしている計算機・数学論文数（５年合計値）2012-2017,リードしている計算機・数学論文数（５年合計値）2017-2021,リードしている工学論文数（５年合計値）2007-2011,リードしている工学論文数（５年合計値）2012-2017,リードしている工学論文数（５年合計値）2017-2021,リードしている環境・地球科学論文数（５年合計値）2007-2011,リードしている環境・地球科学論文数（５年合計値）2012-2017,リードしている環境・地球科学論文数（５年合計値）2017-2021,リードしている臨床医学論文数（５年合計値）2007-2011,リードしている臨床医学論文数（５年合計値）2012-2017,リードしている臨床医学論文数（５年合計値）2017-2021,リードしている基礎生命科学論文数（５年合計値)2007-2011,リードしている基礎生命科学論文数（５年合計値）2012-2017,リードしている基礎生命科学論文数（５年合計値）2017-2021,医学・基礎生命科学系論文割合（５年合計値）2017-2021,医学・基礎生命科学を除いた論文数（５年合計値）2017-2021,日本全体の論文数に占める割合（５年合計値）2017-2021,Top10%補正論文割合（５年合計値）2007-2011,Top10%補正論文割合（５年合計値）2012-2017,Top10%補正論文割合（５年合計値）2017-2021,化学Top10%補正論文割合（５年合計値）2007-2011,化学Top10%補正論文割合（５年合計値）2012-2017,化学Top10%補正論文割合（５年合計値）2017-2021,材料科学Top10%補正論文割合（５年合計値）2007-2011,材料科学Top10%補正論文割合（５年合計値）2012-2017,材料科学Top10%補正論文割合（５年合計値）2017-2021,物理学Top10%補正論文割合（５年合計値）2007-2011,物理学Top10%補正論文割合（５年合計値）2012-2017,物理学Top10%補正論文割合（５年合計値）2017-2021,計算機・数学Top10%補正論文割合（５年合計値）2007-2011,計算機・数学Top10%補正論文割合（５年合計値）2012-2017,計算機・数学Top10%補正論文割合（５年合計値）2017-2021,工学Top10%補正論文割合（５年合計値）2007-2011,工学Top10%補正論文割合（５年合計値）2012-2017,工学Top10%補正論文割合（５年合計値）2017-2021,環境・地球科学Top10%補正論文割合（５年合計値）2007-2011,環境・地球科学Top10%補正論文（５年合計値）2012-2017,環境・地球科学Top10%補正論文割合（５年合計値）2017-2021,臨床医学Top10%補正論文割合（５年合計値）2007-2011,臨床医学Top10%補正論文（５年合計値）2012-2017,臨床医学Top10%補正論文割合（５年合計値）2017-2021,基礎生命科学Top10%補正論文割合（５年合計値)2007-2011,基礎生命科学Top10%補正論文割合（５年合計値）2012-2017,基礎生命科学Top10%補正論文割合（５年合計値）2017-2021
京都工芸繊維大学,21,東海・北陸・近畿地区,01_国立大学,4G,,,1470,1397,1637,469,508,602,223,230,331,288,194,180,31,44,38,101,92,109,8,12,13,38,37,44,309,279,319,86,52,63,38,11,25,16,12,10,12,10,13,0,1,2,3,1,2,0,0,0,5,0,4,10,16,7,858,816,963,276,329,388,111,120,174,184,112,98,20,24,17,77,59,71,5,6,4,11,19,25,173,148,186,0.221747098,1273,0.002737669,0.058503401,0.03722262,0.038485034,0.081023454,0.021653543,0.041528239,0.071748879,0.052173913,0.03021148,0.041666667,0.051546392,0.072222222,0,0.022727273,0.052631579,0.02970297,0.010869565,0.018348624,0,0,0,0.131578947,0,0.090909091,0.03236246,0.05734767,0.021943574
熊本大学,22,九州・沖縄地区,01_国立大学,3G,,○,4016,4680,5955,544,544,736,232,262,347,236,269,270,125,133,176,180,131,198,166,207,308,1144,1632,2066,1384,1478,1830,323,416,568,29,33,39,28,12,24,11,7,16,3,4,11,19,5,19,9,16,16,126,217,279,97,121,162,2340,2547,2531,352,356,380,139,144,146,123,144,106,90,75,95,101,74,86,72,77,104,671,944,847,790,722,764,0.654240134,2035,0.00995896,0.080428287,0.088888889,0.095382032,0.053308824,0.060661765,0.05298913,0.120689655,0.045801527,0.069164265,0.046610169,0.026022305,0.059259259,0.024,0.030075188,0.0625,0.105555556,0.038167939,0.095959596,0.054216867,0.077294686,0.051948052,0.11013986,0.132965686,0.135043562,0.070086705,0.081867388,0.08852459
群馬大学,23,関東・甲信越地区,01_国立大学,3G,,,3035,3164,3516,389,391,422,136,115,145,203,225,178,59,88,102,158,146,135,32,36,32,1044,1193,1556,1000,948,919,187,194,251,25,21,18,7,7,5,12,14,22,0,2,0,1,4,4,6,1,2,62,84,140,72,60,58,1787,1771,1679,233,264,234,90,89,90,135,153,84,41,48,58,120,101,76,11,15,8,676,680,790,477,412,327,0.703924915,1014,0.005880051,0.061614498,0.061314791,0.071387941,0.064267352,0.05370844,0.042654028,0.051470588,0.060869565,0.034482759,0.0591133,0.062222222,0.123595506,0,0.022727273,0,0.006329114,0.02739726,0.02962963,0.1875,0.027777778,0.0625,0.059386973,0.070410729,0.089974293,0.072,0.063291139,0.063112078
高知大学,24,中国・四国地区,01_国立大学,4G,,,1943,2087,2106,136,130,154,43,31,66,101,103,134,59,48,26,8,13,23,270,456,319,524,627,655,790,663,708,137,187,147,15,4,11,1,1,3,7,8,19,0,1,0,0,0,1,51,89,22,39,59,52,23,25,39,1061,918,787,95,86,76,16,12,20,47,28,34,50,37,21,5,5,8,77,68,68,314,308,259,452,372,295,0.647198481,722,0.00352201,0.070509521,0.0896023,0.06980057,0.110294118,0.030769231,0.071428571,0.023255814,0.032258065,0.045454545,0.069306931,0.077669903,0.141791045,0,0.020833333,0,0,0,0.043478261,0.188888889,0.195175439,0.068965517,0.074427481,0.094098884,0.079389313,0.029113924,0.037707391,0.055084746
神戸大学,25,東海・北陸・近畿地区,01_国立大学,2G,,○,6102,7636,9394,750,833,991,145,160,249,949,1307,1272,229,289,318,365,453,506,198,281,573,1419,2014,2757,2010,2246,2623,503,827,885,56,59,78,12,6,10,94,327,224,13,32,15,22,17,19,9,18,37,117,165,288,174,198,202,3403,3980,4361,487,568,600,75,87,124,406,361,311,156,183,189,242,285,309,91,104,195,848,1167,1358,1075,1205,1226,0.572705983,3909,0.015710239,0.08243199,0.108302776,0.09420907,0.074666667,0.070828331,0.078708375,0.082758621,0.0375,0.040160643,0.099051633,0.250191278,0.176100629,0.056768559,0.110726644,0.047169811,0.060273973,0.037527594,0.037549407,0.045454545,0.06405694,0.064572426,0.082452431,0.081926514,0.104461371,0.086567164,0.088156723,0.077011056
埼玉大学,26,関東・甲信越地区,01_国立大学,4G,,,1532,1655,1969,330,364,419,84,105,135,426,390,456,53,95,104,147,155,237,147,106,154,18,32,24,324,408,431,86,139,147,10,13,16,2,9,1,31,39,42,9,3,5,3,5,10,2,1,7,1,8,1,27,61,64,850,840,942,249,235,272,61,62,61,164,149,166,37,55,60,90,111,122,89,59,76,5,6,7,153,164,175,0.231081767,1505,0.003292895,0.05613577,0.083987915,0.074657186,0.03030303,0.035714286,0.038186158,0.023809524,0.085714286,0.007407407,0.072769953,0.1,0.092105263,0.169811321,0.031578947,0.048076923,0.020408163,0.032258065,0.042194093,0.013605442,0.009433962,0.045454545,0.055555556,0.25,0.041666667,0.083333333,0.149509804,0.148491879
佐賀大学,27,九州・沖縄地区,01_国立大学,4G,,,2183,2124,2490,334,316,254,90,105,115,329,202,190,102,102,73,222,153,124,63,60,96,497,609,917,528,557,690,169,170,204,21,11,7,12,4,5,42,26,21,5,4,4,13,12,7,6,5,4,30,61,110,36,47,43,1171,1062,951,228,203,145,50,58,50,108,95,81,65,65,37,146,90,60,32,30,29,282,274,322,249,238,224,0.645381526,852,0.0041642,0.077416399,0.080037665,0.081927711,0.062874251,0.034810127,0.027559055,0.133333333,0.038095238,0.043478261,0.127659574,0.128712871,0.110526316,0.049019608,0.039215686,0.054794521,0.058558559,0.078431373,0.056451613,0.095238095,0.083333333,0.041666667,0.060362173,0.100164204,0.119956379,0.068181818,0.08438061,0.062318841
滋賀医科大学,28,東海・北陸・近畿地区,01_国立大学,4G,,,1275,1479,1742,33,24,30,10,13,14,8,8,8,3,5,6,4,4,4,3,1,11,781,951,1101,373,439,528,120,128,151,2,0,2,2,2,2,0,1,1,0,0,0,0,0,1,0,0,0,82,87,107,29,37,36,628,665,643,17,11,14,8,4,1,3,0,1,1,0,1,0,0,1,2,0,6,405,480,424,169,165,187,0.935132032,73,0.002913268,0.094117647,0.086544963,0.086681975,0.060606061,0,0.066666667,0.2,0.153846154,0.142857143,0,0.125,0.125,0,0,0,0,0,0.25,0,0,0,0.104993598,0.09148265,0.097184378,0.077747989,0.08428246,0.068181818
静岡大学,29,東海・北陸・近畿地区,01_国立大学,3G,,,2310,2429,2778,403,443,487,239,266,378,570,453,446,116,112,160,279,274,357,164,219,232,19,45,70,519,615,644,128,130,142,19,23,37,8,7,16,34,23,15,11,10,18,15,17,13,9,5,17,2,0,2,28,44,23,1429,1340,1392,282,286,267,130,102,154,356,268,242,84,74,73,177,183,197,87,95,114,8,7,16,305,325,325,0.257019438,2060,0.004645842,0.055411255,0.053519967,0.051115911,0.047146402,0.051918736,0.075975359,0.033472803,0.026315789,0.042328042,0.059649123,0.050772627,0.033632287,0.094827586,0.089285714,0.1125,0.053763441,0.062043796,0.036414566,0.054878049,0.02283105,0.073275862,0.105263158,0,0.028571429,0.053949904,0.071544715,0.035714286
島根大学,30,中国・四国地区,01_国立大学,4G,,,1800,1984,2771,145,153,216,116,128,97,124,153,167,95,83,114,75,81,105,162,143,278,458,608,976,614,627,782,88,112,167,6,3,7,2,2,0,5,10,4,3,1,2,4,6,2,6,4,28,24,44,76,36,41,45,1090,1103,1196,109,106,133,81,82,54,87,75,77,72,59,84,50,48,60,57,59,79,276,346,367,354,324,329,0.634428004,977,0.004634136,0.048888889,0.056451613,0.060267052,0.04137931,0.019607843,0.032407407,0.017241379,0.015625,0,0.040322581,0.065359477,0.023952096,0.031578947,0.012048193,0.01754386,0.053333333,0.074074074,0.019047619,0.037037037,0.027972028,0.100719424,0.052401747,0.072368421,0.077868852,0.058631922,0.06539075,0.057544757
信州大学,31,関東・甲信越地区,01_国立大学,3G,,○,3632,4374,5303,591,704,894,330,410,560,515,833,802,93,126,146,140,126,199,120,134,218,914,1041,1342,916,977,1112,284,538,508,52,44,68,35,39,30,80,249,177,4,4,2,6,1,14,2,9,22,68,123,123,37,67,70,2063,2109,2472,379,432,478,184,215,283,213,157,175,66,83,88,87,66,98,46,61,83,573,595,687,508,489,563,0.46275693,2819,0.008868575,0.078193833,0.122999543,0.095794833,0.087986464,0.0625,0.07606264,0.106060606,0.095121951,0.053571429,0.155339806,0.298919568,0.220698254,0.043010753,0.031746032,0.01369863,0.042857143,0.007936508,0.070351759,0.016666667,0.067164179,0.100917431,0.074398249,0.11815562,0.091654247,0.040393013,0.068577277,0.06294964
総合研究大学院大学,32,関東・甲信越地区,01_国立大学,4G,,,2169,2909,4146,168,296,350,22,30,80,933,1104,1815,58,72,87,65,79,204,67,192,354,34,60,64,822,1063,1164,256,306,440,12,21,27,1,3,5,105,113,226,1,2,5,0,6,6,1,15,28,6,4,12,130,139,130,333,435,761,33,58,72,7,6,15,123,130,265,25,29,29,26,26,58,15,21,50,3,3,5,102,158,260,0.296189098,2890,0.006933644,0.11802674,0.105190787,0.106126387,0.071428571,0.070945946,0.077142857,0.045454545,0.1,0.0625,0.112540193,0.102355072,0.124517906,0.017241379,0.027777778,0.057471264,0,0.075949367,0.029411765,0.014925373,0.078125,0.079096045,0.176470588,0.066666667,0.1875,0.158150852,0.130761994,0.111683849
千葉大学,33,関東・甲信越地区,01_国立大学,2G,,○,6065,6867,8118,900,926,983,136,205,229,692,708,717,182,212,217,276,233,398,280,342,527,1511,1982,2443,2058,2211,2464,516,707,714,70,63,36,12,20,8,100,100,78,12,16,7,22,9,12,14,25,54,123,225,271,157,239,235,3362,3534,3692,654,630,639,85,117,110,284,298,291,125,126,113,161,114,210,122,140,208,857,1065,1027,1055,1032,1067,0.604459226,3071,0.013576295,0.085078318,0.102956167,0.087952698,0.077777778,0.068034557,0.036622584,0.088235294,0.097560976,0.034934498,0.144508671,0.141242938,0.108786611,0.065934066,0.075471698,0.032258065,0.079710145,0.038626609,0.030150754,0.05,0.073099415,0.102466793,0.081403044,0.113521695,0.110929185,0.076287658,0.108095884,0.095373377
筑波大学,34,関東・甲信越地区,01_国立大学,2G,○,,8978,10379,13264,1108,1213,1393,413,559,780,2097,2466,2387,309,395,438,414,389,547,516,659,1022,1455,1760,2854,2585,2817,3643,900,1206,1311,114,104,73,43,58,60,286,523,376,13,20,19,28,23,46,31,69,127,140,181,306,238,214,289,4322,4445,5144,673,649,654,188,220,303,777,744,694,202,242,247,225,223,274,237,245,361,758,859,1054,1222,1208,1498,0.489822075,6567,0.022182308,0.100245043,0.116196165,0.098838963,0.102888087,0.08573784,0.052404882,0.104116223,0.103756708,0.076923077,0.136385312,0.212084347,0.157519899,0.042071197,0.050632911,0.043378995,0.06763285,0.059125964,0.084095064,0.060077519,0.104704097,0.124266145,0.096219931,0.102840909,0.10721794,0.092069632,0.075967341,0.079330222
電気通信大学,35,関東・甲信越地区,01_国立大学,4G,,,1613,1724,1950,142,235,238,98,83,151,717,617,559,234,269,312,276,299,433,93,69,87,14,41,45,38,105,122,111,106,125,10,17,20,13,6,24,67,59,37,5,10,18,12,7,17,1,0,5,0,2,1,3,4,4,927,872,878,75,110,102,63,39,60,379,293,226,160,159,175,173,181,223,50,31,38,5,19,17,23,38,37,0.085641026,1780,0.00326112,0.068815871,0.061484919,0.064102564,0.070422535,0.072340426,0.084033613,0.132653061,0.072289157,0.158940397,0.093444909,0.095623987,0.066189624,0.021367521,0.037174721,0.057692308,0.043478261,0.023411371,0.03926097,0.010752688,0,0.057471264,0,0.048780488,0.022222222,0.078947368,0.038095238,0.032786885
東京大学,36,関東・甲信越地区,01_国立大学,1G,○,,36846,40143,46989,4136,4360,4935,1535,1802,2803,9365,10137,11409,1218,1404,1556,1860,1973,3020,2906,3293,4442,4573,6090,7097,10972,10618,11057,4818,5509,5644,710,635,531,201,235,244,1405,1872,1969,109,120,99,149,148,238,271,343,453,614,776,871,1335,1334,1178,18684,19050,19495,2588,2535,2459,803,918,1221,4184,4036,3920,718,841,926,1016,1114,1602,1282,1310,1544,2360,3079,2995,5586,5004,4523,0.38634574,28165,0.078582968,0.130760462,0.137234387,0.120113218,0.171663443,0.145642202,0.107598784,0.130944625,0.130410655,0.08704959,0.150026695,0.184670021,0.172583048,0.089490969,0.085470085,0.063624679,0.080107527,0.075012671,0.078807947,0.093255334,0.10416034,0.10198109,0.134266346,0.127422003,0.122727913,0.12167335,0.125635713,0.106538844
東京医科歯科大学,37,関東・甲信越地区,01_国立大学,2G,（○）,,4217,4918,6651,171,238,342,135,143,199,59,55,42,24,18,29,24,27,40,7,8,67,2076,2717,3894,1686,1658,1915,455,482,595,11,18,15,16,3,10,1,5,2,2,1,2,1,1,3,0,0,0,237,288,372,185,161,178,2178,2260,2872,98,130,202,75,88,113,24,32,13,16,13,10,3,14,18,1,1,34,1188,1319,1697,763,640,735,0.873402496,719,0.011122929,0.107896609,0.09800732,0.089460232,0.064327485,0.075630252,0.043859649,0.118518519,0.020979021,0.050251256,0.016949153,0.090909091,0.047619048,0.083333333,0.055555556,0.068965517,0.041666667,0.037037037,0.075,0,0,0,0.11416185,0.105999264,0.095531587,0.109727165,0.097104946,0.092950392
東京海洋大学,38,関東・甲信越地区,01_国立大学,4G,,,1000,966,1289,44,41,49,8,11,15,46,39,53,23,17,14,43,34,89,104,109,329,10,19,14,722,695,722,55,50,75,2,1,2,0,0,1,0,2,1,3,0,1,0,2,2,6,13,24,2,2,0,41,29,44,572,541,620,24,24,26,6,9,11,27,26,27,9,13,10,21,18,44,34,42,83,8,7,6,443,403,413,0.57098526,549,0.002155684,0.055,0.051759834,0.058184639,0.045454545,0.024390244,0.040816327,0,0,0.066666667,0,0.051282051,0.018867925,0.130434783,0,0.071428571,0,0.058823529,0.02247191,0.057692308,0.119266055,0.072948328,0.2,0.105263158,0,0.056786704,0.041726619,0.060941828
東京学芸大学,39,関東・甲信越地区,01_国立大学,その他,,,367,375,367,51,65,51,20,9,16,103,61,64,37,30,32,0,0,3,49,56,61,12,25,28,90,122,106,17,16,19,2,1,0,0,0,0,7,2,1,0,2,4,0,0,0,1,5,3,0,0,1,4,6,8,157,151,113,12,32,27,8,1,4,55,25,15,17,10,15,0,0,0,13,15,11,5,10,7,46,57,33,0.365122616,227,0.00061376,0.046321526,0.042666667,0.051771117,0.039215686,0.015384615,0,0,0,0,0.067961165,0.032786885,0.015625,0,0.066666667,0.125,0,0,0,0.020408163,0.089285714,0.049180328,0,0,0.035714286,0.044444444,0.049180328,0.075471698
東京工業大学,40,関東・甲信越地区,01_国立大学,2G,（○）,,11952,12052,13274,3151,3101,3081,1284,1364,1732,3591,3408,3301,659,646,669,1498,1497,1834,487,665,936,104,158,241,1151,1165,1407,1293,1355,1295,287,301,240,130,102,92,480,543,458,71,46,47,144,145,165,51,68,102,8,12,33,120,132,148,6709,6139,5935,2175,1959,1733,753,750,835,1653,1325,1111,419,386,363,967,926,918,188,252,345,31,47,67,511,469,532,0.124152479,11553,0.022199032,0.108182731,0.112429472,0.097559138,0.091082196,0.097065463,0.077896787,0.101246106,0.074780059,0.053117783,0.133667502,0.159330986,0.138745835,0.107738998,0.07120743,0.070254111,0.096128171,0.096860387,0.089967285,0.104722793,0.102255639,0.108974359,0.076923077,0.075949367,0.136929461,0.104257168,0.113304721,0.105188344
東京農工大学,41,関東・甲信越地区,01_国立大学,3G,,○,3386,3531,4011,906,824,801,166,154,270,487,348,300,80,98,117,256,267,391,191,282,338,82,112,107,1215,1441,1678,232,263,240,60,68,27,15,9,10,52,40,22,1,8,6,21,27,24,20,27,30,5,12,10,57,71,110,1977,1965,2156,701,568,506,97,88,142,213,159,159,52,63,68,152,172,238,96,110,141,36,38,54,630,768,844,0.445026178,2217,0.006707874,0.068517425,0.074483149,0.059835453,0.066225166,0.082524272,0.033707865,0.090361446,0.058441558,0.037037037,0.106776181,0.114942529,0.073333333,0.0125,0.081632653,0.051282051,0.08203125,0.101123596,0.061381074,0.104712042,0.095744681,0.088757396,0.06097561,0.107142857,0.093457944,0.04691358,0.049271339,0.065554231
東北大学,42,北海道・東北地区,01_国立大学,1G,◎,,21834,22646,24957,3087,3215,3352,3104,2929,3294,5689,5071,4764,667,724,788,1424,1388,1757,1164,1359,1758,2562,3248,4124,4069,4598,4921,2018,2135,2248,300,279,178,231,227,165,594,573,544,46,50,84,108,96,148,101,117,170,254,369,445,375,410,488,12015,11593,11333,1888,1848,4819,1870,1586,1567,2775,2311,1808,459,451,464,850,794,941,569,577,728,1429,1661,1863,2136,2308,2070,0.362423368,15713,0.041737324,0.092424659,0.094277135,0.090074929,0.09718173,0.086780715,0.053102625,0.074420103,0.077500854,0.050091075,0.104412023,0.112995464,0.114189757,0.068965517,0.069060773,0.106598985,0.075842697,0.069164265,0.084234491,0.086769759,0.086092715,0.096700796,0.099141296,0.113608374,0.107904947,0.092160236,0.089169204,0.099166836
徳島大学,43,中国・四国地区,01_国立大学,3G,,○,3374,3419,3956,419,388,420,94,130,144,380,238,318,115,80,96,156,143,203,43,47,79,947,1125,1368,1203,1255,1311,224,195,287,18,12,11,2,6,9,9,11,20,3,6,6,5,0,4,4,2,6,84,76,127,98,82,102,2016,1947,1883,303,258,249,60,83,58,165,117,122,75,38,49,91,77,94,21,20,32,569,658,673,721,686,602,0.677199191,1260,0.006615894,0.066390041,0.057034221,0.072548028,0.042959427,0.030927835,0.026190476,0.021276596,0.046153846,0.0625,0.023684211,0.046218487,0.062893082,0.026086957,0.075,0.0625,0.032051282,0,0.019704433,0.093023256,0.042553191,0.075949367,0.088701162,0.067555556,0.092836257,0.081463009,0.065338645,0.077803204
鳥取大学,44,中国・四国地区,01_国立大学,3G,,,2316,2494,2844,260,263,248,49,57,76,73,90,73,16,23,32,67,76,98,91,156,223,648,720,985,1093,1096,1081,130,132,187,12,11,5,3,4,3,5,5,10,0,0,0,4,1,1,2,5,29,39,42,77,65,62,62,1370,1350,1443,209,199,175,33,42,52,39,44,27,12,11,25,45,41,60,54,72,87,412,433,536,560,500,475,0.726441632,750,0.004756219,0.056131261,0.052927025,0.065752461,0.046153846,0.041825095,0.02016129,0.06122449,0.070175439,0.039473684,0.068493151,0.055555556,0.136986301,0,0,0,0.059701493,0.013157895,0.010204082,0.021978022,0.032051282,0.130044843,0.060185185,0.058333333,0.078172589,0.05946935,0.056569343,0.057354302
富山大学,45,東海・北陸・近畿地区,01_国立大学,3G,,,3125,3284,3966,558,539,557,162,145,142,267,243,389,68,38,64,144,198,256,106,121,197,660,789,1154,1142,1194,1176,223,193,309,30,14,28,9,5,4,24,25,45,3,4,12,7,12,21,8,2,7,76,73,118,64,57,70,1865,1684,1737,341,294,298,121,86,58,146,113,90,51,25,31,80,85,90,46,43,78,339,408,511,734,624,567,0.587493696,1605,0.006632617,0.07136,0.058769793,0.077912254,0.053763441,0.025974026,0.0502693,0.055555556,0.034482759,0.028169014,0.08988764,0.102880658,0.115681234,0.044117647,0.105263158,0.1875,0.048611111,0.060606061,0.08203125,0.075471698,0.016528926,0.035532995,0.115151515,0.09252218,0.102253033,0.056042032,0.047738693,0.05952381
豊橋技術科学大学,46,東海・北陸・近畿地区,01_国立大学,4G,,,1276,1080,1179,356,276,264,254,218,231,230,184,159,60,68,55,247,188,296,30,28,42,15,27,26,83,91,105,66,53,70,21,7,15,14,11,11,8,7,10,1,3,1,15,9,21,3,1,1,0,6,0,3,8,11,866,679,695,265,185,173,154,136,125,157,124,88,37,44,31,173,129,200,14,12,20,9,17,13,56,33,43,0.111111111,1047,0.001971724,0.051724138,0.049074074,0.059372349,0.058988764,0.025362319,0.056818182,0.05511811,0.050458716,0.047619048,0.034782609,0.038043478,0.062893082,0.016666667,0.044117647,0.018181818,0.060728745,0.04787234,0.070945946,0.1,0.035714286,0.023809524,0,0.222222222,0,0.036144578,0.087912088,0.104761905
長岡技術科学大学,47,関東・甲信越地区,01_国立大学,4G,,○,1228,1277,1369,274,275,201,316,304,335,236,255,243,19,24,22,192,174,287,30,51,96,4,1,10,151,189,169,70,59,83,12,9,6,29,13,19,6,6,17,0,2,3,9,11,15,3,3,15,0,0,1,10,14,7,790,763,748,195,187,112,209,181,167,149,159,145,11,14,13,146,126,180,7,16,35,3,1,5,66,77,88,0.130752374,1184,0.002289474,0.057003257,0.046202036,0.060628196,0.04379562,0.032727273,0.029850746,0.091772152,0.042763158,0.056716418,0.025423729,0.023529412,0.069958848,0,0.083333333,0.136363636,0.046875,0.063218391,0.052264808,0.1,0.058823529,0.15625,0,0,0.1,0.066225166,0.074074074,0.041420118
長崎大学,48,九州・沖縄地区,01_国立大学,3G,,○,3632,4151,5458,333,347,460,74,74,116,68,71,47,26,27,32,82,95,188,101,155,386,1478,1643,2089,1430,1677,2010,236,276,388,9,12,25,4,6,1,3,1,1,0,3,1,2,9,19,7,17,40,104,120,193,104,100,98,2221,2235,2546,269,250,287,52,34,72,35,46,30,14,13,11,44,57,90,41,41,140,981,897,969,763,871,907,0.751007695,1229,0.009127792,0.064977974,0.066490002,0.071088311,0.027027027,0.034582133,0.054347826,0.054054054,0.081081081,0.00862069,0.044117647,0.014084507,0.021276596,0,0.111111111,0.03125,0.024390244,0.094736842,0.10106383,0.069306931,0.109677419,0.103626943,0.070365359,0.073037127,0.092388703,0.072727273,0.059630292,0.048756219
名古屋大学,49,東海・北陸・近畿地区,01_国立大学,2G,○,,14102,16278,19619,1898,2095,2485,829,754,1159,3111,3882,4302,476,547,655,802,883,1203,820,1008,1307,2498,3073,4043,3551,3927,4301,1540,1893,1868,255,263,189,52,54,51,431,639,550,47,40,37,56,48,53,60,99,129,270,340,443,356,395,408,7398,7968,8746,1222,1222,1340,490,410,558,1388,1482,1499,267,333,375,495,492,621,316,401,425,1326,1563,1897,1838,2023,1974,0.425302003,11111,0.032810216,0.109204368,0.116291928,0.095213823,0.134351949,0.125536993,0.076056338,0.062726176,0.071618037,0.044003451,0.138540662,0.164605873,0.127847513,0.098739496,0.073126143,0.05648855,0.069825436,0.054360136,0.044056525,0.073170732,0.098214286,0.098699311,0.108086469,0.110641067,0.1095721,0.10025345,0.100585689,0.09486166
名古屋工業大学,50,東海・北陸・近畿地区,01_国立大学,4G,,,2070,2174,2208,593,639,597,429,438,445,435,452,408,143,127,116,253,282,329,36,33,50,41,42,54,140,160,209,99,107,100,43,46,34,11,8,16,14,19,8,8,6,1,12,15,15,5,0,4,4,1,1,1,11,21,1393,1359,1213,466,452,390,273,261,213,287,280,221,95,86,75,160,180,188,17,16,21,19,8,16,76,76,90,0.119112319,1945,0.003692592,0.047826087,0.049218031,0.045289855,0.072512648,0.07198748,0.056951424,0.025641026,0.01826484,0.035955056,0.032183908,0.042035398,0.019607843,0.055944056,0.047244094,0.00862069,0.04743083,0.053191489,0.045592705,0.138888889,0,0.08,0.097560976,0.023809524,0.018518519,0.007142857,0.06875,0.100478469
